,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.91,0.88,0.35,0.38,0.5,1.0,1.0,0.62,0.6,0.11,0.1,0.41,0.88,0.59,0.29,0.44,1.0,0.7
arsenal-1.csv,0.83,0.8,0.33,0.43,0.25,0.68,1.0,0.5,1.0,0.06,0.11,0.67,0.98,0.33,1.0,0.5,1.0,1.0
atomsite.csv,0.91,0.85,0.22,0.41,0.5,0.49,0.87,0.48,0.41,0.04,0.18,0.24,0.94,0.36,0.16,0.25,1.0,0.78
barracudamvc.csv,0.77,0.95,0.18,0.43,0.33,0.47,0.84,0.39,0.41,0.0,0.2,0.2,0.93,0.28,0.12,0.17,0.98,0.75
bionote.csv,0.97,0.86,0.8,0.37,0.33,0.48,0.95,0.5,0.67,0.04,0.5,0.31,0.89,0.43,0.44,0.23,1.0,0.7
bulmages.csv,0.0,0.88,0.18,0.5,0.67,0.0,1.0,0.5,0.0,0.0,0.0,0.33,0.5,0.34,0.0,0.26,1.0,0.85
fm-classic.csv,1.0,0.89,0.3,0.28,0.0,0.62,0.93,0.5,0.0,0.33,0.25,0.33,1.0,0.25,0.33,0.71,1.0,0.57
hazelcast.csv,0.89,0.83,0.5,0.42,0.36,0.56,1.0,0.48,0.41,0.05,0.19,0.25,0.93,0.42,0.17,0.3,1.0,0.73
jppf-project.csv,0.77,0.79,0.2,0.4,0.24,0.46,0.81,0.26,0.18,0.11,0.17,0.17,0.99,0.17,0.1,0.28,1.0,0.68
megasquirtavr.csv,0.82,0.81,0.52,0.42,0.24,0.46,0.82,0.37,0.39,0.02,0.18,0.24,0.92,0.29,0.09,0.27,1.0,0.76
mevenide.csv,0.94,0.82,0.36,0.38,0.33,0.42,1.0,0.75,0.0,0.07,0.0,0.4,0.94,0.5,0.29,0.55,1.0,0.67
mumble.csv,0.9,0.86,0.62,0.42,0.35,0.39,0.88,0.38,0.4,0.0,0.47,0.24,0.96,0.62,0.1,0.14,1.0,0.67
mycila.csv,0.88,0.86,0.67,0.38,0.28,0.38,0.87,0.2,0.43,0.0,0.47,0.19,0.8,0.21,0.1,0.11,1.0,0.78
opengs.csv,0.9,0.83,0.46,0.44,0.43,0.56,0.73,0.65,0.63,0.04,0.38,0.3,0.88,0.46,0.17,0.13,0.98,0.78
openintents.csv,0.76,0.78,1.0,0.6,0.28,0.47,0.94,0.49,0.4,0.06,0.08,0.13,0.92,0.14,0.13,0.25,0.98,0.66
tweetsharp.csv,1.0,0.84,0.19,0.42,0.36,0.5,0.72,0.43,0.43,0.11,0.2,0.27,0.69,0.4,0.14,0.15,0.97,0.91
xharbour.csv,0.99,0.83,0.28,0.42,0.39,0.47,0.95,0.47,0.42,0.06,0.19,0.22,0.89,0.31,0.23,0.26,0.98,0.77
