,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.64,0.48,0.44,0.55,0.76,0.49,0.62
amateur-scrolls.csv,0.79,0.93,0.57,1.0,0.44,1.0,0.72
arcallians.csv,0.67,0.39,0.51,0.54,0.78,0.36,0.61
gebr.csv,0.98,1.0,1.0,0.37,0.98,0.49,0.8
jfreereport.csv,0.6,0.82,0.8,0.86,0.45,0.69,0.86
kml.csv,0.98,1.0,0.98,0.43,0.89,0.32,0.85
multitude.csv,0.63,0.57,0.72,0.4,0.59,0.72,0.43
