,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.79,0.81,0.18,0.63,0.15,0.77,0.5,0.39,0.16,0.44,0.43,0.17,0.86,0.66,0.61
fluidium.csv,0.02,0.01,0.0,0.35,0.01,0.15,0.0,0.07,0.02,0.0,0.0,0.0,0.02,0.48,0.0
guineu.csv,0.24,0.49,0.0,0.1,0.15,0.21,0.28,0.64,0.54,0.36,0.14,0.33,0.3,0.93,0.21
inkscape.csv,0.64,0.57,1.0,0.87,0.09,0.12,0.31,0.71,0.89,0.52,0.43,1.0,0.89,0.9,0.94
mpqc.csv,0.72,0.46,1.0,0.5,0.61,0.28,0.47,0.86,0.79,0.64,0.71,0.83,0.77,0.83,0.3
nsis.csv,0.78,0.84,0.55,0.42,0.84,0.5,0.91,0.75,0.73,0.72,0.0,0.58,0.7,0.52,0.82
octave.csv,0.41,0.53,0.0,0.58,0.19,0.25,0.12,0.64,0.34,0.45,0.57,0.42,0.32,0.52,0.33
owfs.csv,0.81,0.87,1.0,0.27,0.47,0.5,0.44,0.89,0.34,0.75,0.71,0.42,0.34,0.59,0.82
owlib.csv,0.55,0.29,0.09,0.69,0.47,0.52,0.47,0.43,0.3,0.39,0.43,0.42,0.39,0.45,0.18
pamguard.csv,0.48,0.36,0.27,0.5,0.35,0.47,0.5,0.68,0.25,0.31,0.29,0.17,0.75,0.14,0.36
prelude.csv,0.9,0.98,0.18,0.87,0.91,0.91,0.78,0.89,0.59,0.88,1.0,0.5,0.91,0.62,0.97
robocode.csv,0.59,0.44,0.0,0.21,0.43,0.77,0.5,0.25,0.62,0.31,0.43,0.0,0.82,0.52,0.42
uwom-server.csv,0.22,0.42,0.0,0.56,0.43,0.44,0.19,0.25,0.45,0.36,0.29,0.25,0.27,0.48,0.27
zengine.csv,1.0,0.99,0.64,0.9,0.98,0.94,1.0,1.0,0.89,0.92,1.0,0.0,0.93,0.69,1.0
zildo.csv,0.41,0.71,0.09,0.73,0.26,0.42,0.44,0.11,0.29,0.34,0.43,0.17,0.23,0.28,0.67
