,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.58,0.72,0.65,0.46,0.63,0.59,0.63,0.79,0.81,0.54,0.5,0.65,0.64,0.48,0.8
bibletime.csv,0.48,0.83,0.98,0.87,0.62,0.57,0.85,0.72,0.75,0.85,0.42,0.85,0.65,0.65,0.87
boost.csv,0.48,0.58,0.73,0.71,0.46,0.56,0.55,0.67,0.67,0.87,0.48,0.61,0.59,0.58,0.66
doomlegacy.csv,0.59,0.69,0.83,0.9,0.71,0.48,0.65,0.68,0.55,0.89,0.52,0.61,0.47,0.57,0.87
gpac.csv,0.83,0.68,0.49,0.84,0.72,0.76,1.01,0.67,0.85,0.59,0.73,0.6,0.91,1.0,0.82
kftpgrabber.csv,0.79,0.92,0.86,0.84,0.75,0.28,0.79,0.83,0.85,0.68,0.52,0.76,0.67,1.0,0.93
nativeclient.csv,0.45,0.54,0.55,0.77,0.58,0.39,0.51,0.74,0.49,0.69,0.48,0.66,0.54,0.39,0.42
netatalk.csv,0.62,0.47,0.76,0.58,0.65,0.72,0.46,0.74,0.69,0.81,0.63,0.77,0.65,0.75,0.62
open-ms.csv,0.47,0.77,0.91,0.77,0.74,0.51,0.66,0.86,0.64,0.53,0.73,0.67,0.63,0.58,0.79
openmsx.csv,0.9,0.85,1.0,0.95,0.97,0.89,0.67,0.45,0.56,0.71,0.83,1.0,0.96,0.89,0.78
rosegarden.csv,0.36,0.42,0.62,0.74,0.57,0.49,0.54,0.71,0.74,0.87,0.45,0.72,0.49,0.48,0.58
rsyslog.csv,0.49,0.37,0.81,0.87,0.68,0.56,0.55,0.79,0.61,0.84,0.58,0.59,0.62,0.64,0.49
sandiaportals.csv,0.57,0.57,0.75,0.66,0.57,0.71,0.62,0.64,0.74,0.42,0.54,0.59,0.53,0.32,0.54
xmoto.csv,0.59,0.48,0.68,0.92,0.82,0.49,0.9,0.71,0.76,0.48,0.54,0.6,0.37,1.0,0.74
xqilla.csv,0.68,0.96,0.79,0.75,0.94,0.75,0.69,0.96,0.72,0.05,0.82,0.79,0.82,0.88,0.87
