,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.43,0.21,0.6,0.23,0.4,0.58,0.26,0.56,0.15,0.42,0.21,0.26,0.18,0.28,0.11
bibletime.csv,0.4,0.83,0.98,0.86,0.37,0.56,0.84,0.44,0.69,0.85,0.29,0.84,0.52,0.61,0.86
boost.csv,0.36,0.29,0.7,0.45,0.33,0.53,0.34,0.18,0.15,0.87,0.36,0.43,0.2,0.0,0.22
doomlegacy.csv,0.56,0.0,0.09,0.07,0.11,0.42,0.08,0.34,0.5,0.89,0.21,0.46,0.36,0.0,0.08
gpac.csv,0.12,0.29,0.38,0.64,0.67,0.74,0.11,0.35,0.19,0.59,0.5,0.27,0.91,1.0,0.15
kftpgrabber.csv,0.05,0.0,0.11,0.01,0.15,0.26,0.03,0.07,0.04,0.14,0.43,0.11,0.07,0.0,0.02
nativeclient.csv,0.36,0.5,0.38,0.72,0.38,0.21,0.42,0.21,0.23,0.61,0.36,0.63,0.48,0.22,0.28
netatalk.csv,0.57,0.21,0.66,0.39,0.27,0.6,0.29,0.63,0.65,0.81,0.57,0.74,0.55,0.72,0.46
open-ms.csv,0.24,0.0,0.19,0.12,0.19,0.27,0.13,0.21,0.62,0.41,0.14,0.36,0.48,0.28,0.08
openmsx.csv,0.05,0.79,0.0,0.49,0.02,0.89,0.45,0.32,0.31,0.63,0.79,0.01,0.95,0.89,0.21
rosegarden.csv,0.21,0.17,0.36,0.72,0.4,0.39,0.5,0.35,0.73,0.87,0.21,0.7,0.3,0.33,0.5
rsyslog.csv,0.25,0.21,0.26,0.09,0.4,0.24,0.42,0.22,0.46,0.84,0.43,0.43,0.43,0.33,0.31
sandiaportals.csv,0.5,0.46,0.72,0.57,0.29,0.69,0.58,0.35,0.15,0.26,0.5,0.43,0.41,0.22,0.19
xmoto.csv,0.5,0.29,0.23,0.01,0.81,0.29,0.89,0.21,0.12,0.34,0.43,0.35,0.27,1.0,0.09
xqilla.csv,0.43,0.0,0.23,0.12,0.05,0.27,0.24,0.14,0.5,0.05,0.21,0.4,0.27,0.39,0.26
