,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,6.0,2.0,0.0,1.0,1.0,12.0,1.0,17.0,0.0,24.0,0.0,9.0,1.0,3.0,1.0
bibletime.csv,10.0,2.0,0.0,3.0,5.0,8.0,5.0,0.0,2.0,43.0,0.0,14.0,9.0,2.0,0.0
boost.csv,5.0,2.0,0.0,5.0,4.0,7.0,5.0,0.0,0.0,53.0,0.0,11.0,3.0,0.0,1.0
doomlegacy.csv,2.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,47.0,0.0,14.0,1.0,0.0,0.0
gpac.csv,0.0,1.0,0.0,1.0,1.0,17.0,51.0,2.0,0.0,29.0,0.0,5.0,1.0,4.0,0.0
kftpgrabber.csv,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,0.0,5.0,1.0,70.0,0.0
nativeclient.csv,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,32.0,0.0,17.0,1.0,0.0,0.0
netatalk.csv,9.0,0.0,8.0,0.0,0.0,23.0,0.0,0.0,0.0,40.0,0.0,10.0,2.0,1.0,0.0
open-ms.csv,3.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,16.0,0.0,3.0,10.0,0.0,0.0
openmsx.csv,3.0,5.0,102.0,2.0,0.0,18.0,0.0,1.0,0.0,32.0,0.0,436.0,0.0,3.0,1.0
rosegarden.csv,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,45.0,0.0,13.0,4.0,0.0,1.0
rsyslog.csv,3.0,0.0,1.0,2.0,0.0,9.0,2.0,0.0,1.0,41.0,0.0,5.0,9.0,0.0,0.0
sandiaportals.csv,4.0,1.0,0.0,1.0,1.0,13.0,2.0,0.0,0.0,23.0,0.0,25.0,1.0,1.0,1.0
xmoto.csv,8.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,12.0,1.0,17.0,1.0,4.0,3.0
xqilla.csv,7.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,23.0,1.0,1.0,3.0
