,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.05,0.71,0.61,0.7,0.81,0.67,0.75,0.56,1.0,0.67,0.33,0.97
bscwweasel.csv,0.03,0.07,0.7,0.65,0.57,0.5,0.38,0.6,0.35,0.64,0.67,0.29
capcode.csv,0.03,1.0,0.93,0.85,0.48,0.83,0.39,0.27,0.91,0.53,0.67,0.61
emite.csv,0.81,0.36,0.34,0.15,0.24,0.08,0.11,0.05,0.09,0.17,0.0,0.68
lamp.csv,0.62,0.64,0.3,0.7,0.86,0.83,0.99,0.6,0.65,0.72,1.0,0.23
mecat.csv,0.63,0.07,0.02,0.05,0.19,0.25,0.01,0.31,0.0,0.42,1.0,0.0
nodal.csv,0.01,0.64,0.52,0.45,0.52,0.5,0.11,0.38,0.65,0.75,0.67,0.26
pydev.csv,0.99,0.5,0.75,1.0,0.95,1.0,0.28,0.84,0.35,0.67,1.0,0.19
retromenu.csv,0.71,0.57,0.52,0.35,0.86,0.33,0.28,0.31,0.43,0.17,0.0,0.52
smbopensoft.csv,0.79,1.0,0.86,0.75,1.0,0.75,0.82,0.36,0.96,0.78,0.67,0.87
stuproa-cims.csv,0.02,0.21,0.8,0.45,0.81,0.33,0.02,0.64,0.57,0.69,0.67,0.45
thout.csv,0.47,1.0,0.55,0.25,0.38,1.0,0.95,0.93,0.96,0.14,0.33,0.87
