,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,2.0,37.0,1.0,15.0,9.0,9.0,2.0,1.0,1.0,4.0,17.0,2.0
bscwweasel.csv,1.0,7.0,2.0,8.0,8.0,3.0,2.0,5.0,0.0,2.0,12.0,3.0
capcode.csv,1.0,9.0,2.0,34.0,10.0,2.0,2.0,13.0,3.0,2.0,22.0,3.0
emite.csv,0.0,27.0,4.0,24.0,5.0,10.0,0.0,5.0,3.0,8.0,62.0,4.0
lamp.csv,0.0,13.0,2.0,9.0,13.0,14.0,1.0,3.0,0.0,1.0,25.0,0.0
mecat.csv,3.0,1.0,1.0,10.0,5.0,8.0,0.0,0.0,85.0,0.0,1.0,70.0
nodal.csv,0.0,11.0,0.0,7.0,10.0,13.0,0.0,10.0,3.0,1.0,19.0,0.0
pydev.csv,1.0,16.0,2.0,40.0,5.0,0.0,0.0,4.0,1.0,3.0,21.0,2.0
retromenu.csv,1.0,22.0,4.0,16.0,1.0,3.0,1.0,8.0,2.0,3.0,62.0,0.0
smbopensoft.csv,0.0,10.0,19.0,19.0,13.0,13.0,1.0,3.0,1.0,0.0,34.0,1.0
stuproa-cims.csv,4.0,7.0,16.0,11.0,15.0,1.0,2.0,2.0,1.0,0.0,20.0,1.0
thout.csv,0.0,13.0,1.0,8.0,8.0,0.0,2.0,5.0,8.0,7.0,36.0,3.0
