,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,72.0,1.0,204.0,10.0,0.0,17.0,8.0,0.0,2.0,32.0,6.0,45.0,14.0,6.0,4.0,3.0,0.0,3.0,3.0,2.0
blogentis.csv,50.0,7.0,0.0,1.0,0.0,4.0,1.0,0.0,91.0,29.0,16.0,23.0,3.0,0.0,10.0,9.0,7.0,11.0,0.0,1.0
carabiner.csv,43.0,2.0,106.0,6.0,0.0,28.0,2.0,0.0,1.0,35.0,24.0,41.0,15.0,1.0,4.0,3.0,15.0,15.0,13.0,0.0
continuum-ide.csv,72.0,9.0,0.0,0.0,1.0,9.0,2.0,0.0,91.0,5.0,5.0,3.0,1.0,3.0,2.0,9.0,14.0,13.0,161.0,1.0
emulemorph.csv,72.0,1.0,3.0,6.0,0.0,169.0,8.0,60.0,0.0,61.0,2.0,86.0,0.0,1.0,1.0,58.0,6.0,13.0,0.0,16.0
gtad.csv,5.0,0.0,73.0,2.0,0.0,0.0,5.0,0.0,0.0,22.0,0.0,1.0,12.0,0.0,1.0,2.0,11.0,11.0,0.0,4.0
htmlunit.csv,14.0,2.0,110.0,0.0,0.0,12.0,0.0,0.0,0.0,40.0,4.0,9.0,29.0,0.0,5.0,8.0,11.0,4.0,0.0,2.0
jaxen.csv,50.0,7.0,0.0,2.0,0.0,24.0,14.0,0.0,2.0,61.0,11.0,4.0,66.0,9.0,13.0,11.0,7.0,10.0,0.0,7.0
jsr308-langtools.csv,38.0,1.0,355.0,158.0,1.0,18.0,15.0,0.0,11.0,61.0,276.0,69.0,109.0,0.0,7.0,13.0,5.0,11.0,0.0,8.0
jvcl.csv,2.0,0.0,355.0,4.0,0.0,5.0,6.0,0.0,1.0,61.0,2.0,16.0,14.0,1.0,1.0,2.0,1.0,77.0,0.0,4.0
kaffeine.csv,52.0,2.0,96.0,8.0,0.0,14.0,1.0,0.0,20.0,31.0,4.0,36.0,33.0,12.0,3.0,4.0,2.0,13.0,0.0,4.0
m-m-m.csv,17.0,2.0,0.0,8.0,0.0,14.0,13.0,0.0,10.0,55.0,27.0,69.0,20.0,10.0,6.0,11.0,7.0,21.0,0.0,8.0
motu.csv,46.0,2.0,0.0,9.0,0.0,24.0,15.0,0.0,6.0,61.0,27.0,70.0,11.0,10.0,3.0,2.0,7.0,8.0,2.0,5.0
nh3d.csv,55.0,4.0,0.0,158.0,0.0,24.0,15.0,0.0,2.0,61.0,12.0,70.0,109.0,11.0,10.0,13.0,7.0,11.0,0.0,8.0
sarasvati.csv,17.0,0.0,18.0,8.0,0.0,16.0,0.0,0.0,91.0,20.0,5.0,57.0,109.0,2.0,1.0,1.0,6.0,10.0,6.0,2.0
stemkit.csv,72.0,2.0,355.0,9.0,0.0,169.0,6.0,0.0,1.0,61.0,4.0,86.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,8.0
taokgame.csv,12.0,0.0,355.0,6.0,0.0,30.0,6.0,0.0,2.0,61.0,11.0,15.0,16.0,4.0,3.0,58.0,9.0,3.0,0.0,7.0
wgs-assembler.csv,17.0,2.0,0.0,9.0,0.0,15.0,2.0,0.0,4.0,51.0,13.0,8.0,29.0,0.0,7.0,7.0,21.0,1.0,0.0,1.0
zabbix.csv,30.0,2.0,355.0,8.0,0.0,16.0,2.0,0.0,11.0,61.0,8.0,30.0,26.0,4.0,2.0,9.0,6.0,2.0,0.0,5.0
