,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.39,0.44,0.75,0.92,0.0,0.52,0.83,0.3,0.44,0.52,0.47,0.62,0.68,0.55,0.77,0.65,0.16,0.6,0.79,0.35
blogentis.csv,0.72,0.24,0.57,0.48,1.0,0.29,0.26,0.3,0.34,0.48,0.43,0.35,0.68,0.1,0.77,0.24,0.31,0.74,0.94,0.08
carabiner.csv,0.83,0.89,0.47,0.81,0.0,0.19,0.7,0.4,0.82,0.57,0.85,0.65,0.71,0.15,0.85,0.43,0.66,0.74,0.54,0.18
continuum-ide.csv,0.08,0.9,0.72,0.29,0.82,0.09,0.06,0.3,0.26,0.08,0.43,0.07,0.23,0.2,0.23,0.3,0.22,0.21,0.0,0.04
emulemorph.csv,0.0,0.09,0.03,0.22,0.0,0.33,0.29,0.0,0.05,0.3,0.01,0.07,0.32,0.1,0.03,0.24,0.06,0.31,0.0,0.33
gtad.csv,0.2,0.4,0.38,0.08,0.0,0.16,0.46,0.0,0.1,0.36,0.08,0.07,0.25,0.0,0.33,0.35,0.13,0.18,0.0,0.12
htmlunit.csv,0.41,0.79,0.49,0.47,0.0,0.28,0.57,0.0,0.28,0.66,0.25,0.2,0.41,0.1,0.54,0.72,0.44,0.35,0.03,0.37
jaxen.csv,0.85,0.83,0.91,0.55,1.0,0.53,0.8,0.8,0.35,0.89,0.42,0.1,0.84,0.75,0.85,0.8,0.86,0.74,0.12,0.84
jsr308-langtools.csv,0.76,0.46,0.0,0.0,0.91,0.91,1.0,1.0,0.83,1.0,0.0,0.99,0.0,0.1,0.92,1.0,0.94,0.99,0.79,1.0
jvcl.csv,0.06,0.01,0.0,0.25,0.0,0.05,0.32,0.0,0.28,0.11,0.03,0.26,0.17,0.05,0.18,0.07,0.04,0.03,0.01,0.16
kaffeine.csv,0.96,0.09,0.45,0.99,0.09,0.46,0.61,0.4,0.51,0.51,0.51,0.55,0.92,1.0,0.82,0.54,0.44,0.71,1.0,0.31
m-m-m.csv,0.38,0.43,0.48,0.77,0.45,0.74,0.91,0.2,0.65,0.9,0.92,0.99,0.56,0.75,0.74,0.91,0.79,0.62,0.94,0.98
motu.csv,0.87,0.8,0.99,0.97,0.55,0.89,1.0,0.8,0.72,0.1,0.99,0.99,0.68,0.9,0.59,0.26,0.68,0.4,0.87,0.67
nh3d.csv,1.0,0.43,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,1.0,0.04,0.95,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.42,0.23,0.5,0.7,0.0,0.28,0.38,0.2,0.34,0.33,0.32,0.8,0.24,0.3,0.54,0.41,0.35,0.14,0.86,0.25
stemkit.csv,0.17,0.21,0.06,0.41,0.45,0.31,0.19,0.5,0.38,0.28,0.16,0.07,0.45,0.05,0.03,0.26,0.28,0.19,0.23,0.31
taokgame.csv,0.27,0.01,0.0,0.39,0.0,0.21,0.22,0.0,0.1,0.33,0.07,0.2,0.28,0.25,0.21,0.07,0.45,0.18,0.31,0.25
wgs-assembler.csv,0.39,0.33,0.36,0.51,0.0,0.45,0.43,0.0,0.41,0.84,0.21,0.18,0.34,0.15,0.26,0.63,0.7,0.61,0.55,0.29
zabbix.csv,0.65,0.74,0.09,0.57,0.0,0.56,0.38,0.2,0.45,0.23,0.22,0.39,0.36,0.35,0.1,0.63,0.7,0.28,0.15,0.57
