,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.46,0.43,0.45,0.33,0.43,0.56,0.38,0.57,0.47,0.48,0.53,0.47,0.36,0.7,0.32,0.39,0.76,0.42,0.37,0.53
blogentis.csv,0.48,0.97,0.9,0.45,0.5,0.69,0.49,0.43,0.57,0.47,0.47,0.53,0.61,0.44,0.41,0.79,0.65,0.49,0.43,0.83
carabiner.csv,0.34,0.29,0.34,0.31,0.36,0.69,0.34,0.42,0.38,0.42,0.33,0.36,0.34,0.43,0.28,0.41,0.38,0.37,0.39,0.52
continuum-ide.csv,0.83,0.35,0.67,0.68,0.95,0.94,0.88,0.53,0.81,0.83,0.42,0.86,0.96,0.83,0.43,0.67,0.76,0.94,0.0,0.67
emulemorph.csv,0.0,0.92,0.92,0.63,0.75,0.92,0.76,0.0,0.83,0.89,0.75,0.83,0.58,0.62,0.67,0.91,0.86,0.76,0.0,0.94
gtad.csv,0.62,0.41,0.37,0.94,0.86,0.63,0.36,0.5,0.89,0.48,0.97,0.88,0.48,0.67,0.47,0.42,0.83,0.67,0.93,0.75
htmlunit.csv,0.39,0.29,0.34,0.38,0.5,0.53,0.37,0.83,0.56,0.39,0.47,0.57,0.37,0.39,0.31,0.36,0.46,0.46,0.91,0.53
jaxen.csv,0.4,0.38,0.54,0.39,0.44,0.58,0.44,0.74,0.76,0.39,0.53,0.85,0.47,0.47,0.38,0.43,0.41,0.46,0.95,0.47
jsr308-langtools.csv,0.38,0.44,0.0,0.0,0.39,0.41,0.38,0.56,0.38,0.37,0.0,0.41,0.0,0.37,0.28,0.37,0.37,0.36,0.34,0.4
jvcl.csv,0.8,0.67,0.0,0.7,0.78,0.9,0.66,0.5,0.79,0.86,0.93,0.74,0.85,0.5,0.82,0.8,0.83,0.5,0.93,0.91
kaffeine.csv,0.34,0.9,0.34,0.31,0.36,0.46,0.33,0.4,0.4,0.41,0.36,0.37,0.38,0.42,0.27,0.36,0.52,0.35,0.36,0.6
m-m-m.csv,0.5,0.55,0.49,0.4,0.53,0.46,0.41,0.75,0.46,0.41,0.42,0.41,0.54,0.56,0.36,0.38,0.45,0.43,0.37,0.4
motu.csv,0.36,0.31,0.51,0.31,0.47,0.46,0.37,0.54,0.38,0.83,0.37,0.41,0.34,0.43,0.37,0.55,0.45,0.44,0.32,0.46
nh3d.csv,0.34,0.58,0.83,0.0,0.4,0.41,0.38,0.56,0.37,0.37,0.96,0.4,0.75,0.44,0.32,0.37,0.37,0.36,0.36,0.4
sarasvati.csv,0.41,0.82,0.46,0.44,0.83,0.67,0.56,0.64,0.61,0.62,0.56,0.41,0.88,0.48,0.38,0.42,0.51,0.91,0.38,0.64
stemkit.csv,0.92,0.73,0.95,0.54,0.7,0.92,0.95,0.73,0.78,0.94,0.93,0.83,0.6,0.57,0.5,0.92,0.88,0.89,0.88,0.95
taokgame.csv,0.75,0.5,0.0,0.61,0.75,0.97,0.86,0.67,0.94,0.8,0.95,0.94,0.56,0.92,0.91,0.67,0.67,0.79,0.64,0.95
wgs-assembler.csv,0.43,0.51,0.65,0.58,0.7,0.46,0.49,0.5,0.55,0.4,0.63,0.61,0.59,0.4,0.62,0.37,0.4,0.38,0.56,0.58
zabbix.csv,0.4,0.33,0.97,0.45,0.44,0.6,0.59,0.8,0.68,0.86,0.84,0.71,0.54,0.5,0.83,0.56,0.52,0.74,0.79,0.74
