,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.28,0.42,0.5,0.5,0.54,0.96,0.54,0.84,0.7,0.9
aime.csv,0.8,0.85,0.87,1.0,0.39,0.96,0.88,0.91,0.84,0.84
badtrinitycore.csv,1.0,0.97,0.59,0.25,0.76,0.61,0.41,0.63,0.63,0.63
electric-core.csv,0.68,0.6,0.44,0.56,0.75,0.73,0.61,0.67,0.6,0.68
geochat.csv,0.72,0.95,0.94,1.0,0.86,1.0,0.81,0.98,0.88,0.54
mumble.csv,0.96,1.0,0.83,0.92,0.56,0.58,0.26,0.81,0.68,0.6
olsrd.csv,0.79,0.28,0.53,0.5,0.71,0.78,0.54,0.55,0.57,0.69
silvertree.csv,0.92,0.46,0.84,0.93,0.6,0.38,0.77,0.96,0.81,0.76
skia.csv,0.67,0.4,0.55,0.77,0.61,0.76,0.54,0.64,0.58,0.56
t-2.csv,0.65,0.75,0.72,0.69,0.84,0.81,0.63,0.4,0.72,0.74
