,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.52,0.22,0.25,0.72,0.19,0.24,0.9,0.54,0.55,0.71,0.26,0.15,0.13,0.69,0.39,0.62,0.0
arm-webradio.csv,0.36,0.19,0.15,0.25,0.28,0.19,0.44,0.35,0.54,0.37,0.12,0.32,0.22,0.47,0.57,0.57,0.77
codepurge.csv,0.52,0.28,0.13,0.48,0.22,0.35,0.39,0.27,0.18,0.38,0.32,0.34,0.45,0.45,0.4,0.55,0.51
fw4spl.csv,0.2,0.38,0.37,0.54,0.18,0.25,0.73,0.14,0.21,0.49,0.11,0.31,0.33,0.44,0.53,0.46,0.56
glas.csv,0.49,0.33,0.25,0.73,0.23,0.29,0.8,0.55,0.58,0.75,0.13,0.37,0.26,0.51,0.59,0.59,0.37
grisbi.csv,0.48,0.22,0.26,0.86,0.24,0.32,0.89,0.52,0.58,0.94,0.13,0.35,0.26,0.56,0.64,0.64,0.51
gwanted.csv,0.4,0.31,0.32,0.44,0.5,0.3,0.88,0.17,0.28,0.68,0.34,0.36,0.33,0.45,0.46,0.59,0.34
lcfizvtop.csv,0.46,0.25,0.14,0.62,0.29,0.57,0.73,0.23,0.57,0.81,0.12,0.36,0.25,0.43,0.72,0.63,0.62
ldview.csv,0.6,0.2,0.25,0.76,0.27,0.25,0.91,0.57,0.55,0.64,0.18,0.32,0.17,0.64,0.61,0.58,0.41
libmesh.csv,0.4,0.11,0.19,0.36,0.16,0.3,0.64,0.62,0.36,0.45,0.0,0.09,0.0,0.25,0.34,0.36,0.6
mediaportal.csv,0.17,0.12,0.29,0.19,0.27,0.12,0.06,0.2,0.05,0.18,0.17,0.42,0.07,0.2,0.4,0.43,0.74
olex2.csv,0.0,0.22,0.27,0.63,0.45,0.24,0.64,0.12,0.18,0.55,0.38,0.39,0.15,0.29,0.34,0.73,0.44
oppna-program-hsatools.csv,0.38,0.18,0.24,0.93,0.32,0.24,0.92,0.36,0.4,0.95,0.26,0.32,0.22,0.49,0.41,0.62,0.15
qlc.csv,0.49,0.27,0.32,0.45,0.3,0.26,0.65,0.33,0.43,0.34,0.27,0.37,0.37,0.51,0.54,0.6,0.0
somap.csv,0.52,0.23,0.2,0.88,0.24,0.31,0.92,0.51,0.56,0.91,0.11,0.31,0.25,0.52,0.64,0.58,0.42
wxcode.csv,0.36,0.18,0.29,0.54,0.36,0.29,0.76,0.3,0.14,0.28,0.47,0.36,0.13,0.45,0.25,0.49,0.13
xcf.csv,0.51,0.25,0.31,0.72,0.29,0.27,0.91,0.56,0.6,0.7,0.28,0.36,0.22,0.61,0.74,0.66,0.09
