,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.9,0.39,0.66,0.65
jlinalg.csv,0.21,0.81,0.65,0.5
qmmp.csv,0.34,0.84,0.51,0.36
yale.csv,0.78,0.72,0.6,0.9
