,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.74,0.75,0.71,0.38
jlinalg.csv,0.8,0.89,0.66,0.67
qmmp.csv,0.74,0.82,0.63,0.68
yale.csv,0.22,0.39,0.46,0.49
