,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.52,0.44,0.31,0.2,0.1,0.38,0.58,0.22,0.02,0.38,0.28,0.31,0.66,0.66,0.55,0.58,0.45
amygdala.csv,0.69,0.28,0.31,0.42,0.52,0.63,0.57,0.26,0.0,0.37,0.26,0.68,0.28,0.77,0.47,0.59,0.34
awemud.csv,0.74,0.8,0.29,0.13,0.65,0.32,0.56,0.3,0.01,0.0,0.27,0.62,0.6,0.71,0.55,0.54,0.45
bullet.csv,0.78,0.5,0.23,0.67,0.27,0.76,0.49,0.24,0.0,0.0,0.09,0.69,0.35,0.21,0.26,0.47,0.48
customwars.csv,0.71,0.56,0.21,0.33,0.46,0.57,0.49,0.17,0.02,0.0,0.29,0.38,0.65,0.66,0.55,0.35,0.59
dvd-create.csv,0.64,0.75,0.29,0.25,0.89,0.76,0.51,0.34,0.01,0.15,0.27,0.73,0.3,0.73,0.69,0.55,0.59
gbif-indexingtoolkit.csv,0.48,0.19,0.32,0.36,0.13,0.25,0.28,0.41,0.0,0.0,0.31,0.25,0.04,0.44,0.28,0.05,0.31
go.csv,0.77,0.77,0.36,0.18,0.57,0.62,0.58,0.29,0.01,0.15,0.27,0.67,0.56,0.74,0.6,0.74,0.57
growl-for-windows.csv,0.76,0.0,0.32,0.0,0.03,0.14,0.55,0.27,0.0,0.0,0.27,0.67,0.0,0.52,0.48,0.79,0.31
kwave.csv,0.83,0.78,0.53,0.4,0.89,0.72,0.54,0.29,0.01,0.0,0.25,0.6,0.48,0.75,0.61,0.56,0.59
libarchive.csv,0.7,0.74,0.33,0.19,0.57,0.78,0.58,0.26,0.01,0.4,0.29,0.62,0.6,0.74,0.6,0.76,0.67
linux-ntfs.csv,0.49,0.63,0.35,0.6,0.75,0.81,0.4,0.33,0.0,0.32,0.29,0.55,0.37,0.57,0.71,0.6,0.58
lsb.csv,0.73,0.58,0.23,0.73,0.85,0.73,0.44,0.33,0.02,0.0,0.25,0.59,0.62,0.54,0.63,0.69,0.58
mpgravity.csv,0.83,0.75,0.28,0.38,0.85,0.8,0.51,0.32,0.0,0.71,0.26,0.71,0.0,0.78,0.63,0.79,0.61
qcad2.csv,0.66,0.57,0.41,0.36,0.46,0.63,0.64,0.3,0.02,0.55,0.23,0.4,0.63,0.61,0.66,0.71,0.61
qtwin.csv,0.14,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.21,0.19,0.14,0.2,0.52,0.44,0.1,0.0
roller.csv,0.84,0.74,0.3,0.19,0.81,0.77,0.49,0.24,0.01,0.46,0.29,0.69,0.47,0.78,0.63,0.77,0.58
