,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.52,0.46,0.13,0.6,0.57,0.47,0.27,0.17,0.32,0.39,0.47,0.25,0.44,0.68,0.39,0.69,0.11
arm-webradio.csv,0.37,0.5,0.2,0.14,0.29,0.31,0.29,0.42,0.48,0.29,0.17,0.41,0.54,0.45,0.51,0.61,0.94
codepurge.csv,0.57,0.45,0.13,0.34,0.29,0.7,0.1,0.18,0.1,0.22,0.71,0.48,0.65,0.49,0.23,0.36,0.67
fw4spl.csv,0.28,0.55,0.58,0.56,0.28,0.21,0.59,0.27,0.13,0.41,0.17,0.35,0.64,0.31,0.38,0.34,0.45
glas.csv,0.56,0.72,0.53,0.47,0.41,0.57,0.61,0.59,0.6,0.48,0.51,0.66,0.49,0.66,0.49,0.6,0.52
grisbi.csv,0.45,0.13,0.46,0.59,0.25,0.17,0.86,0.17,0.42,0.0,0.43,0.59,0.41,0.32,0.27,0.59,0.38
gwanted.csv,0.28,0.53,0.52,0.25,0.76,0.21,0.8,0.14,0.31,0.43,0.72,0.58,0.46,0.39,0.36,0.63,0.48
lcfizvtop.csv,0.36,0.74,0.25,0.38,0.39,0.81,0.69,0.3,0.59,0.51,0.54,0.66,0.27,0.57,0.7,0.27,0.64
ldview.csv,0.76,0.7,0.65,0.54,0.36,0.53,0.44,0.47,0.51,0.38,0.71,0.52,0.2,0.7,0.59,0.21,0.42
libmesh.csv,0.46,0.24,0.26,0.37,0.31,0.43,0.19,0.71,0.46,0.28,0.0,0.21,0.0,0.51,0.31,0.25,0.73
mediaportal.csv,0.06,0.07,0.2,0.13,0.25,0.11,0.02,0.15,0.04,0.1,0.0,0.6,0.05,0.09,0.11,0.32,0.74
olex2.csv,0.0,0.39,0.57,0.58,0.7,0.48,0.68,0.18,0.13,0.48,0.61,0.57,0.2,0.24,0.29,0.71,0.49
oppna-program-hsatools.csv,0.37,0.46,0.34,0.89,0.55,0.49,0.82,0.38,0.36,0.0,0.83,0.57,0.29,0.55,0.43,0.62,0.26
qlc.csv,0.54,0.64,0.66,0.4,0.41,0.4,0.41,0.31,0.51,0.3,0.65,0.67,0.62,0.59,0.46,0.67,0.0
somap.csv,0.13,0.0,0.31,0.57,0.4,0.0,0.8,0.32,0.54,0.86,0.05,0.09,0.13,0.13,0.4,0.46,0.05
wxcode.csv,0.28,0.25,0.65,0.39,0.56,0.31,0.53,0.22,0.04,0.17,0.96,0.58,0.1,0.28,0.11,0.37,0.07
xcf.csv,0.63,0.6,0.68,0.58,0.59,0.57,0.65,0.6,0.67,0.61,0.87,0.64,0.45,0.63,0.76,0.76,0.23
