,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.75,0.91,0.21,0.97,0.99,1.0,0.1,0.86,0.86,0.83,0.03,0.28
e-bio-flow.csv,0.1,0.22,0.0,0.06,0.33,0.03,0.15,0.22,0.21,0.09,0.14,0.28
freedom-erp.csv,0.1,0.15,0.08,0.02,0.0,0.01,0.03,0.02,0.14,0.01,0.0,0.07
jbasic.csv,0.0,0.22,0.31,0.02,0.56,0.23,0.12,0.14,0.21,0.18,0.35,0.14
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joustsim.csv,0.35,0.14,0.25,0.17,0.14,0.5,0.0,0.1,0.36,0.09,0.38,0.13
jsidplay2.csv,0.0,0.94,0.65,0.86,0.97,0.6,0.8,0.78,1.0,0.85,0.73,0.74
madman.csv,0.05,0.04,0.08,0.08,0.1,0.0,0.03,0.0,0.0,0.02,0.03,0.05
mule.csv,0.1,0.0,0.31,0.06,0.16,0.28,0.28,0.22,0.43,0.29,0.16,0.2
nunit.csv,0.15,0.44,0.31,0.18,0.17,0.21,0.08,0.27,0.14,0.16,0.16,0.01
power-architect.csv,0.75,0.57,0.52,0.47,0.54,0.58,0.62,0.78,0.0,0.62,0.35,0.49
reaper3d.csv,0.4,0.09,0.02,0.0,0.0,0.04,0.18,0.02,0.0,0.0,0.0,0.14
