,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.76,0.92,0.83,0.97,0.99,1.0,0.73,0.94,0.86,0.84,0.03,0.57
e-bio-flow.csv,0.82,0.82,0.0,0.89,0.55,1.0,0.92,0.66,0.9,1.0,0.9,0.8
freedom-erp.csv,0.72,0.87,0.77,1.0,0.02,1.0,1.0,0.75,0.85,1.0,0.92,0.98
jbasic.csv,0.76,0.71,0.73,0.05,0.67,0.46,0.74,0.76,0.74,0.65,0.78,0.86
jgossipforum.csv,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0
joustsim.csv,0.98,0.67,0.9,0.84,0.95,0.5,0.0,0.63,0.72,0.88,0.64,0.61
jsidplay2.csv,0.03,0.94,0.73,0.86,0.97,0.72,0.8,0.78,1.0,0.86,0.76,0.78
madman.csv,0.98,0.95,0.84,0.91,0.95,1.0,0.91,0.0,0.98,1.0,0.93,0.93
mule.csv,0.8,0.01,0.8,0.91,0.74,0.28,0.39,0.78,0.78,0.58,0.68,0.61
nunit.csv,0.78,0.69,0.83,0.86,0.89,0.45,0.91,0.91,0.79,0.77,0.78,0.08
power-architect.csv,0.88,0.65,0.6,0.88,0.72,0.61,0.72,0.79,0.02,0.67,0.53,0.65
reaper3d.csv,0.94,0.96,0.97,0.98,1.0,1.0,1.02,1.0,1.0,0.0,0.99,0.84
