,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,327.0,52.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0
amygdala.csv,1.0,123.0,0.0,181.0,0.0,0.0,6.0,2.0,438.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,116.0
awemud.csv,1.0,0.0,4.0,21.0,0.0,0.0,3.0,5.0,199.0,52.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0
bullet.csv,2.0,1.0,2.0,1.0,0.0,0.0,2.0,7.0,119.0,52.0,8.0,1.0,65.0,1.0,0.0,1.0,7.0
customwars.csv,0.0,0.0,9.0,1.0,1.0,0.0,7.0,16.0,169.0,52.0,0.0,0.0,13.0,0.0,1.0,0.0,2.0
dvd-create.csv,2.0,3.0,8.0,1.0,0.0,0.0,4.0,5.0,885.0,0.0,21.0,1.0,1.0,5.0,0.0,1.0,5.0
gbif-indexingtoolkit.csv,2.0,4.0,0.0,1.0,0.0,2.0,12.0,1.0,1912.0,52.0,21.0,2.0,3.0,1.0,0.0,0.0,6.0
go.csv,1.0,0.0,1.0,1.0,0.0,0.0,16.0,4.0,1126.0,1.0,21.0,2.0,1.0,0.0,0.0,0.0,3.0
growl-for-windows.csv,0.0,123.0,3.0,181.0,1.0,0.0,11.0,0.0,2488.0,52.0,0.0,1.0,367.0,0.0,0.0,0.0,0.0
kwave.csv,2.0,4.0,0.0,1.0,0.0,2.0,11.0,6.0,1606.0,1.0,15.0,4.0,49.0,1.0,1.0,4.0,6.0
libarchive.csv,0.0,0.0,1.0,14.0,4.0,2.0,5.0,2.0,1448.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
linux-ntfs.csv,1.0,3.0,3.0,3.0,0.0,0.0,12.0,3.0,38.0,9.0,16.0,7.0,31.0,5.0,0.0,4.0,2.0
lsb.csv,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,464.0,52.0,1.0,5.0,3.0,0.0,0.0,0.0,5.0
mpgravity.csv,2.0,0.0,3.0,1.0,0.0,0.0,30.0,7.0,643.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
qcad2.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,6.0
qtwin.csv,2.0,123.0,71.0,181.0,91.0,2.0,0.0,4.0,31.0,5.0,1.0,1.0,2.0,0.0,3.0,1.0,116.0
roller.csv,1.0,1.0,0.0,0.0,0.0,2.0,11.0,1.0,1581.0,2.0,16.0,2.0,2.0,0.0,0.0,0.0,6.0
