,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.84,0.93,0.36,0.75,1.0,0.74,0.48,0.27,0.01,0.0,0.24,0.57,0.61,0.86,0.5,0.75,0.65
amygdala.csv,0.77,0.0,0.27,0.0,1.0,0.8,0.45,0.17,0.0,1.0,0.13,0.68,0.37,0.69,0.48,0.95,0.0
awemud.csv,0.77,0.92,0.26,0.21,0.97,0.82,0.51,0.19,0.0,0.0,0.16,0.65,0.23,0.62,0.55,0.72,1.0
bullet.csv,0.64,0.6,0.19,0.45,0.93,0.86,0.41,0.15,0.01,0.0,0.09,0.58,0.3,0.56,0.46,0.65,0.48
customwars.csv,0.84,0.8,0.17,0.95,0.83,0.81,0.5,0.11,0.01,0.0,0.18,0.65,0.59,0.73,0.55,0.76,0.59
dvd-create.csv,0.79,0.66,0.2,0.17,0.95,0.87,0.35,0.22,0.0,1.0,0.15,0.69,0.26,0.62,0.51,0.56,0.5
gbif-indexingtoolkit.csv,0.73,0.64,0.19,0.25,0.8,0.68,0.33,0.3,0.0,0.0,0.14,0.52,0.3,0.61,0.47,0.68,0.42
go.csv,0.79,0.83,0.25,0.15,0.8,0.81,0.42,0.15,0.0,0.5,0.15,0.57,0.41,0.69,0.45,0.84,0.51
growl-for-windows.csv,0.85,0.0,0.27,0.0,0.5,1.0,0.42,0.19,0.0,0.0,0.16,0.56,0.0,0.83,0.75,0.88,1.0
kwave.csv,0.78,0.64,0.43,0.25,0.8,0.81,0.34,0.16,0.0,0.39,0.15,0.53,0.3,0.63,0.5,0.58,0.42
libarchive.csv,0.76,0.73,0.18,0.3,0.8,0.77,0.39,0.18,0.0,0.53,0.15,0.57,0.39,0.6,0.46,0.71,0.62
linux-ntfs.csv,0.79,0.61,0.18,0.52,0.86,0.8,0.38,0.21,0.01,0.18,0.15,0.56,0.33,0.61,0.63,0.57,0.56
lsb.csv,0.8,0.59,0.16,0.66,0.81,0.78,0.43,0.23,0.0,0.0,0.15,0.46,0.75,0.64,0.56,0.7,0.5
mpgravity.csv,0.77,0.74,0.2,0.24,0.83,0.79,0.36,0.17,0.0,0.53,0.15,0.59,0.96,0.68,0.47,0.73,0.46
qcad2.csv,0.77,0.77,0.38,0.2,0.91,0.82,0.58,0.19,0.01,0.36,0.14,0.45,0.51,0.59,0.51,0.71,0.48
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.2,0.03,0.29,0.14,0.75,0.36,0.77,0.6,0.67,0.0
roller.csv,0.78,0.75,0.18,0.18,0.8,0.75,0.33,0.2,0.0,0.29,0.16,0.52,0.29,0.79,0.48,0.71,0.42
