,id,expected,max_bell,avge,bellwether
61,2,1,2,1.5,logicmail.csv
56,3,2,2,1.29,jam-daq.csv
54,4,6,9,3.59,exist.csv
62,5,2,2,0.67,mule.csv
25,6,6,8,4.28,geotools.csv
18,7,5,3,0.67,sblim.csv
29,8,4,7,2.92,javaprofiler.csv
17,9,2,1,0.17,ambulant.csv
27,10,1,1,0.5,autofac.csv
55,15,1,2,1.0,amanda.csv
20,16,1,2,1.75,cascading.csv
26,17,5,5,1.81,gebr.csv
16,18,4,6,2.0,enlightenment.csv
28,19,6,5,2.21,jmule.csv
15,20,1,1,0.33,lmms.csv
30,21,3,4,2.1,playerstage.csv
63,22,2,1,0.4,foursquared.csv
53,23,4,4,2.15,biopax.csv
52,24,6,6,2.53,patterntesting.csv
19,29,3,3,1.11,bochs.csv
42,30,4,2,0.58,smbopensoft.csv
37,31,5,7,2.33,somap.csv
6,32,5,10,5.6,google-caja.csv
14,33,2,4,2.2,botsnscouts.csv
13,34,2,1,0.43,fido.csv
36,36,4,3,1.58,igarden.csv
43,37,3,4,1.6,mob-sen-plat.csv
35,38,1,2,1.0,jajuk.csv
44,39,6,9,5.0,gss.csv
59,40,7,9,4.25,planeshift.csv
49,41,4,6,3.27,mcmc-jags.csv
21,42,5,7,3.06,zengine.csv
34,43,2,1,0.43,redshell.csv
33,44,4,4,2.23,autowikibrowser.csv
22,45,2,2,1.14,adaptagrams.csv
48,46,6,10,5.71,irrlicht.csv
60,47,6,6,3.32,critterding.csv
50,48,2,2,1.0,jparsec.csv
58,49,2,2,1.4,pcgen.csv
3,50,4,6,1.92,sumatrapdf.csv
9,51,4,5,2.08,mscore.csv
45,52,6,7,4.63,decidr.csv
41,53,1,2,1.75,genecys.csv
40,54,2,4,1.86,mimosa.csv
8,56,3,4,1.9,ivataopenportal.csv
5,57,6,5,2.35,fontforge.csv
10,58,1,2,1.67,graphmak.csv
1,59,4,2,0.45,nh3d.csv
12,60,3,3,1.22,zact.csv
0,61,6,6,3.06,xuggle.csv
39,62,5,6,3.14,web-cat.csv
46,63,1,1,0.5,jmol.csv
47,64,2,2,0.6,nug.csv
38,65,4,3,1.31,free-evolution.csv
2,66,2,1,0.83,buddata-ebxml-registry.csv
11,67,4,4,2.18,barracudamvc.csv
4,68,1,2,1.5,silvertree.csv
7,69,0,0,0.0,jrdf.csv
51,70,4,7,4.45,wpdev.csv
57,71,6,6,2.28,grisbi.csv
32,72,6,5,1.76,zemljanka.csv
23,73,7,11,5.75,kolmafia.csv
24,74,2,3,1.71,glelite.csv
31,75,3,2,1.11,carabiner.csv
