,id,expected,max_bell,avge,bellwether
61,2,0,0,0.0,logicmail.csv
56,3,0,0,0.0,benojt.csv
54,4,1,0,0.0,apertium.csv
62,5,0,0,0.0,calcubetimer.csv
25,6,1,0,0.0,adonthell.csv
18,7,1,0,0.0,array4j.csv
29,8,1,0,0.0,dxengine.csv
17,9,0,0,0.0,ambulant.csv
27,10,0,0,0.0,autofac.csv
55,15,0,0,0.0,amanda.csv
20,16,0,0,0.0,cascading.csv
26,17,1,0,0.0,aufs.csv
16,18,1,0,0.0,cortex-vfx.csv
28,19,1,0,0.0,alsa.csv
15,20,0,0,0.0,lmms.csv
30,21,1,0,0.0,amateur-scrolls.csv
63,22,0,0,0.0,fm-classic.csv
53,23,1,0,0.0,acegisecurity.csv
52,24,1,0,0.0,avifile.csv
19,29,1,0,0.0,bochs.csv
42,30,1,0,0.0,boost-sandbox.csv
37,31,1,0,0.0,algebsql.csv
6,32,1,0,0.0,dspace-gsoc.csv
14,33,0,0,0.0,botsnscouts.csv
13,34,0,0,0.0,fido.csv
36,36,1,0,0.0,bacnet.csv
43,37,1,0,0.0,bloodycore.csv
35,38,0,0,0.0,bacula.csv
44,39,1,0,0.0,acdk.csv
59,40,1,0,0.0,ardour.csv
49,41,1,0,0.0,ikvm.csv
21,42,1,0,0.0,checker-framework.csv
34,43,0,0,0.0,agilitybook.csv
33,44,1,0,0.0,applet2app.csv
22,45,0,0,0.0,adaptagrams.csv
48,46,1,0,0.0,auber.csv
60,47,1,0,0.0,alpine.csv
50,48,0,0,0.0,jparsec.csv
58,49,0,0,0.0,autoopencas.csv
3,50,1,0,0.0,elateportal.csv
9,51,1,0,0.0,all-plasm.csv
45,52,1,0,0.0,bibletime.csv
41,53,0,0,0.0,genecys.csv
40,54,0,0,0.0,autat.csv
8,56,1,0,0.0,crisscross.csv
5,57,1,0,0.0,chipster.csv
10,58,0,0,0.0,graphmak.csv
1,59,1,0,0.0,blogentis.csv
12,60,1,0,0.0,abbot.csv
0,61,1,0,0.0,alleg.csv
39,62,1,0,0.0,cleartk.csv
46,63,0,0,0.0,jmol.csv
47,64,0,0,0.0,maidsafe-dht.csv
38,65,1,0,0.0,codepurge.csv
2,66,0,0,0.0,buddata-ebxml-registry.csv
11,67,1,0,0.0,alembik.csv
4,68,0,0,0.0,freewrl.csv
7,69,0,0,0.0,jrdf.csv
51,70,1,0,0.0,gwanted.csv
57,71,1,0,0.0,bulmages.csv
32,72,1,0,0.0,adobe-source.csv
23,73,1,0,0.0,atomsite.csv
24,74,0,0,0.0,aubit4gl.csv
31,75,1,0,0.0,anaxagora.csv
