,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.36,0.23,0.4,0.12,0.25,0.19,0.02,0.0,0.06,0.58,0.09,0.22,0.0,0.02,0.43,0.61
bdbbasic.csv,0.56,0.44,0.46,0.38,0.36,0.54,0.02,0.0,0.16,0.97,0.12,0.24,0.67,0.02,0.5,0.61
crux-framework.csv,0.51,0.31,0.06,0.53,0.13,0.84,0.86,0.26,0.73,0.16,0.1,0.35,0.33,0.34,0.1,0.19
echongl.csv,0.43,0.14,0.91,0.47,0.72,0.55,0.0,0.0,0.51,0.16,0.06,0.38,0.67,0.07,0.76,0.55
etherboot.csv,0.01,0.08,0.0,0.0,0.31,0.01,0.0,0.13,0.16,0.0,0.99,0.0,1.0,0.0,0.66,0.97
freebios.csv,0.68,0.16,0.39,0.66,0.46,0.14,0.24,0.82,0.61,0.18,0.68,0.73,0.33,0.42,0.72,0.13
gebr.csv,1.0,1.0,0.99,1.0,0.82,0.96,1.0,0.16,1.0,1.0,0.99,0.97,1.0,1.0,1.0,1.0
glelite.csv,0.75,0.92,0.97,0.88,0.92,0.9,0.88,0.42,1.0,1.0,0.84,0.73,0.0,0.98,0.91,0.94
gnukeda.csv,0.84,0.5,0.41,0.25,0.74,0.54,0.55,0.24,0.29,0.84,0.38,0.89,1.0,0.12,0.78,0.97
google-gears.csv,0.49,0.7,0.53,0.22,0.72,0.98,0.88,0.61,0.86,0.97,0.52,0.32,1.0,0.5,0.56,0.97
gstreamer.csv,0.68,0.93,0.63,0.38,0.75,0.88,0.8,0.13,0.82,0.87,0.65,0.54,0.67,0.23,0.91,1.0
jnode.csv,0.04,0.28,0.19,0.53,0.1,0.06,0.1,0.71,0.16,0.11,0.08,0.24,0.0,0.12,0.23,0.0
metacosm.csv,0.08,0.22,0.38,0.19,0.2,0.18,0.24,0.0,0.08,0.63,0.39,0.05,0.67,0.08,0.28,0.23
openmeetings.csv,0.12,0.2,0.36,0.03,0.39,0.38,0.06,0.11,0.18,0.68,0.14,0.16,0.0,0.15,0.27,0.35
tradelink.csv,0.11,0.66,0.81,0.28,0.82,0.6,0.43,0.34,0.31,0.08,0.36,0.32,0.67,0.6,0.72,0.74
wxcrp.csv,0.24,0.57,0.85,0.44,0.92,0.6,0.47,0.0,0.51,0.39,0.38,0.3,0.67,0.59,0.72,0.84
