,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.04,0.97,0.04,0.06,0.03,0.07,0.6,0.36,0.39,0.62,0.27,0.04,0.87,0.59
continuum-ide.csv,0.2,0.53,0.07,0.0,0.06,0.09,0.73,0.59,0.0,0.5,0.23,0.02,0.81,0.29
free-evolution.csv,0.06,1.0,0.11,0.13,0.02,0.2,0.69,0.33,0.77,0.43,0.37,0.06,0.88,0.64
gtad.csv,0.12,1.0,0.15,0.06,0.05,0.29,1.0,0.32,1.0,0.46,0.36,0.01,0.9,0.67
jaxen.csv,0.03,0.8,0.07,0.23,0.0,0.36,0.61,0.27,0.67,0.27,0.24,0.09,0.87,0.6
jruby.csv,0.07,1.0,0.09,0.05,0.0,0.16,0.62,0.28,0.2,0.37,0.39,0.07,0.9,0.61
jsr308-langtools.csv,0.04,0.85,0.07,0.11,0.02,0.06,0.93,0.33,0.35,0.3,0.26,0.07,0.88,0.77
kaffeine.csv,0.03,0.98,0.09,0.04,0.03,0.07,0.6,0.32,0.4,0.29,0.26,0.1,0.82,0.65
oorexx.csv,0.0,1.0,0.11,0.11,0.0,0.0,1.0,0.5,0.78,0.67,0.29,0.06,0.79,0.73
qedo.csv,0.0,0.68,0.03,0.04,0.2,0.05,0.44,0.37,0.32,0.5,0.2,0.23,0.78,0.58
sarasvati.csv,0.04,1.0,0.16,0.06,0.06,0.05,0.82,0.34,0.32,0.41,0.31,0.04,0.84,0.67
taokgame.csv,0.05,1.0,0.03,0.56,0.0,0.11,0.54,0.27,0.6,0.2,0.6,0.0,0.91,0.82
zabbix.csv,0.04,1.0,0.07,0.07,0.0,0.1,0.8,0.25,0.67,0.19,0.26,0.02,0.87,0.67
