,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.43,0.64,0.37,0.04,0.05,0.37,0.47,0.43,0.54,0.02,0.47,0.14,0.26,0.48,0.65,0.62,0.53
all-plasm.csv,0.16,0.67,0.21,0.15,0.57,0.63,0.41,0.19,0.27,0.02,0.17,0.35,0.16,0.73,0.42,0.47,0.46
applet2app.csv,0.58,0.67,0.43,0.02,0.23,0.72,0.56,0.35,0.54,0.01,0.58,0.24,0.35,0.58,0.59,0.65,0.55
autat.csv,0.38,0.46,0.45,0.05,0.35,0.63,0.49,0.37,0.17,0.01,0.22,0.2,0.43,0.44,0.56,0.4,0.55
autowikibrowser.csv,0.47,0.68,0.44,0.01,0.04,0.59,0.55,0.29,0.51,0.01,0.4,0.3,0.36,0.43,0.54,0.67,0.44
gbif-providertoolkit.csv,0.47,0.22,0.31,0.03,0.35,0.65,0.44,0.48,0.39,0.0,0.17,0.34,0.35,0.61,0.55,0.58,0.45
htmlunit.csv,0.53,0.54,0.41,0.01,0.2,0.63,0.49,0.3,0.57,0.02,0.46,0.28,0.35,0.61,0.68,0.57,0.46
kmatplot.csv,0.47,0.64,0.56,0.02,0.22,0.46,0.51,0.3,0.53,0.01,0.06,0.0,0.27,0.48,0.49,0.47,0.49
mcore3d.csv,0.09,0.65,0.39,0.0,0.05,0.76,0.45,0.5,0.38,0.02,0.42,0.33,0.32,0.44,0.05,0.62,0.44
nh3d.csv,0.0,0.63,0.31,0.8,0.2,0.81,0.0,0.3,0.35,0.0,0.41,0.31,0.32,0.58,0.0,0.61,0.0
qgo.csv,0.56,0.83,0.35,0.02,0.07,0.73,0.58,0.3,0.52,0.01,0.38,0.33,0.35,0.51,0.55,0.66,0.36
qtwin.csv,0.01,0.59,0.26,0.08,0.0,0.03,0.43,0.1,0.26,0.05,0.18,0.11,0.15,0.39,0.2,0.04,0.49
reactos-mirror.csv,0.62,0.38,0.4,0.02,0.17,0.72,0.48,0.34,0.52,0.01,0.56,0.17,0.37,0.44,0.47,0.65,0.41
taokgame.csv,0.3,0.6,0.35,0.0,0.69,0.28,0.34,0.15,0.18,0.03,0.27,0.29,0.24,0.6,0.68,0.31,0.57
unbvision.csv,0.32,0.53,0.49,0.0,0.22,0.48,0.45,0.29,0.46,0.01,0.56,0.3,0.35,0.31,0.56,0.49,0.44
uwom.csv,0.46,0.53,0.39,0.02,0.26,0.69,0.5,0.44,0.51,0.01,0.18,0.16,0.3,0.4,0.5,0.61,0.61
wishmaster.csv,0.0,0.59,0.3,0.0,0.12,0.55,0.43,0.29,0.5,0.01,0.37,0.5,0.19,0.19,0.55,0.54,0.24
