,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.26,0.27,0.69,0.47,0.35,0.42,0.55,0.53,0.56,0.37
empserver.csv,0.42,0.45,0.48,0.3,0.63,0.65,0.62,0.64,0.51,0.37
enlightenment.csv,0.0,0.0,0.0,0.65,0.0,0.0,0.05,0.45,0.0,0.27
ffigo.csv,0.53,0.35,0.3,0.0,0.0,0.0,0.34,0.78,0.34,0.0
ildjit.csv,0.45,0.69,0.42,0.28,0.46,0.0,0.6,0.52,0.51,0.3
jfreereport.csv,0.15,0.04,0.48,0.19,0.07,0.0,0.27,0.26,0.07,0.06
mplayer-ce.csv,0.56,0.41,0.17,0.48,0.38,0.51,0.48,0.62,0.56,0.63
psycle.csv,0.66,0.48,0.71,0.57,0.6,0.69,0.65,0.53,0.47,0.53
wikipediardware.csv,0.67,0.36,0.0,0.64,0.13,0.3,0.49,0.52,0.54,0.71
wxjs.csv,0.07,0.0,0.09,0.0,0.0,0.96,0.0,0.0,0.0,0.0
