,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.87,0.15,0.2,0.71,0.61,0.12,0.38,0.75,0.54,0.92
empserver.csv,0.79,0.19,0.13,0.71,0.71,0.11,0.25,0.7,0.5,1.0
enlightenment.csv,0.66,0.23,0.13,0.72,0.52,0.08,0.22,0.66,0.45,0.75
ffigo.csv,0.75,0.22,0.1,1.0,0.0,0.0,0.34,0.8,0.53,0.0
ildjit.csv,0.72,0.54,0.18,0.61,0.52,0.0,0.25,0.84,0.45,0.83
jfreereport.csv,0.88,0.08,0.27,0.75,0.5,0.0,0.43,0.85,0.68,1.0
mplayer-ce.csv,0.8,0.18,0.13,0.67,0.5,0.1,0.24,0.71,0.57,0.83
psycle.csv,0.8,0.2,0.21,0.61,0.55,0.11,0.27,0.72,0.46,0.83
wikipediardware.csv,0.75,0.14,0.13,0.64,0.52,0.09,0.23,0.61,0.45,0.93
wxjs.csv,0.73,0.0,0.07,0.0,0.0,0.32,0.0,0.0,0.0,0.0
