,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.73,0.54,0.5,0.54,0.78,0.67,0.66,0.43,0.5,0.62
empserver.csv,0.52,0.46,0.49,0.72,0.52,0.35,0.43,0.38,0.52,0.67
enlightenment.csv,0.47,0.4,0.42,0.48,0.41,0.39,0.42,0.36,0.37,0.41
ffigo.csv,0.56,0.6,0.83,0.0,0.0,0.88,0.79,0.39,0.82,0.5
ildjit.csv,0.67,0.83,0.81,0.89,0.55,0.94,0.46,0.6,0.37,0.67
jfreereport.csv,0.96,0.92,0.78,0.97,0.75,0.75,0.98,0.8,0.96,0.5
mplayer-ce.csv,0.49,0.45,0.44,0.55,0.45,0.4,0.45,0.39,0.56,0.52
psycle.csv,0.46,0.37,0.45,0.43,0.36,0.34,0.4,0.43,0.35,0.48
wikipediardware.csv,0.46,0.43,0.42,0.42,0.4,0.4,0.43,0.38,0.37,0.46
wxjs.csv,0.93,0.0,0.99,0.0,0.0,0.68,0.0,0.0,0.0,0.0
