,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.99,0.15,0.98,1.02,0.96,0.6,0.97,0.76,0.83,0.55,0.86,0.85,0.85,0.86,0.68,0.97,0.94,0.77,0.71,1.11
baadengine.csv,0.3,0.94,0.89,0.81,0.6,0.68,1.0,0.86,0.96,0.59,0.78,0.96,0.95,0.89,0.4,0.97,0.6,1.0,0.69,0.7
bibedt.csv,0.73,0.86,0.95,0.68,0.58,0.75,0.52,0.58,0.69,0.77,0.9,0.66,0.23,0.51,0.48,0.92,0.55,1.07,0.67,0.47
cascading.csv,0.47,0.9,1.02,0.36,0.48,0.59,0.45,0.64,0.66,0.5,0.52,0.67,0.46,0.57,0.5,0.76,0.5,0.93,0.74,0.5
chaosrts.csv,0.56,1.01,0.99,0.33,0.74,0.66,1.0,0.65,0.79,0.52,0.85,0.56,0.72,0.74,0.58,0.85,0.64,1.0,0.27,0.56
exl.csv,0.75,0.88,1.01,0.77,0.64,0.86,0.45,0.82,0.76,0.81,0.51,1.02,0.71,0.65,0.84,0.81,0.86,0.87,0.84,0.41
gnome-jabber.csv,0.55,0.72,0.71,1.14,0.68,0.69,0.44,0.66,0.69,0.96,0.68,0.73,0.95,0.78,0.58,0.77,0.8,0.57,1.0,0.46
gogoego.csv,0.77,0.89,0.98,0.33,0.63,0.85,0.44,0.55,0.77,0.55,0.6,1.02,0.58,0.61,0.63,0.81,0.88,0.65,0.8,0.49
httpcontentparser.csv,0.81,0.96,0.84,1.06,0.63,0.97,0.93,0.64,0.84,0.83,0.31,0.85,0.56,0.57,0.8,0.69,0.76,0.99,0.86,0.51
impala.csv,0.79,0.72,0.64,0.64,0.9,0.84,0.79,0.78,0.76,0.84,0.83,0.72,0.84,0.89,0.74,0.45,0.74,0.85,0.77,1.06
jaxlib.csv,0.73,0.87,0.84,1.15,0.72,0.59,0.5,0.61,0.81,0.76,0.54,0.06,0.55,0.44,0.9,0.83,0.61,0.92,0.6,0.47
jgameai.csv,1.0,1.0,1.0,1.0,0.91,0.55,1.03,0.95,0.94,0.97,0.96,0.59,0.89,0.97,1.0,1.0,0.99,0.78,0.99,1.0
jhotdraw.csv,0.85,0.69,0.76,0.68,0.97,0.82,1.0,0.94,0.46,0.96,0.89,0.74,0.95,0.87,0.76,0.83,0.69,1.07,0.68,0.81
patterntesting.csv,0.96,0.99,1.01,0.98,0.79,0.97,0.84,0.97,0.86,0.32,0.97,0.96,0.74,0.85,0.99,0.86,0.94,0.55,0.9,0.92
pokeglobal.csv,0.84,0.91,1.0,0.24,0.35,0.81,1.0,0.58,0.96,0.75,0.75,1.23,1.0,0.88,0.92,0.76,0.52,0.96,0.84,0.92
snakeyaml.csv,0.82,0.92,0.92,0.43,0.59,0.72,0.52,0.64,0.61,0.67,0.54,0.65,0.65,0.5,0.38,0.92,0.72,0.79,0.81,0.35
unflobtactical.csv,0.74,0.72,1.05,0.55,0.52,0.87,0.74,0.72,0.74,0.7,0.56,0.69,0.47,0.32,0.58,0.8,0.57,0.64,0.51,0.7
werx.csv,0.99,0.85,0.03,1.0,0.97,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,0.97,1.0,1.0,0.83
zealos.csv,0.85,0.6,0.62,1.04,0.95,0.74,0.44,0.87,0.81,0.68,1.0,0.54,1.01,0.89,1.0,1.0,0.67,0.99,0.63,0.98
