,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,1.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,1.0
bionote.csv,0.0,142.0,1.0,1.0,77.0,0.0,87.0,132.0,1.0,0.0,82.0,58.0,0.0,1.0,1.0,0.0,121.0
bullet.csv,4.0,36.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,11.0,4.0,1.0,0.0,0.0
dxengine.csv,0.0,12.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,58.0,3.0,2.0,1.0,0.0,2.0
emono.csv,0.0,12.0,0.0,3.0,11.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,14.0,4.0,2.0,0.0,0.0
findbugs.csv,0.0,29.0,2.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,8.0,11.0,1.0,2.0,0.0,0.0,0.0
hazelcast.csv,2.0,35.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0
jedit.csv,0.0,7.0,1.0,5.0,6.0,2.0,0.0,16.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0
jmonkeyengine.csv,2.0,4.0,0.0,0.0,2.0,0.0,2.0,132.0,0.0,0.0,13.0,58.0,59.0,0.0,0.0,0.0,0.0
kolmafia.csv,0.0,12.0,0.0,0.0,0.0,0.0,1.0,132.0,17.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
lamp.csv,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,67.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0
lcfizvtop.csv,0.0,12.0,1.0,4.0,7.0,0.0,1.0,8.0,2.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0
onotoa.csv,0.0,11.0,2.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,15.0,16.0,6.0,0.0,0.0,0.0
openintents.csv,0.0,24.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,1.0
qlc.csv,0.0,13.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,13.0,58.0,0.0,85.0,0.0,0.0,0.0
triplea.csv,0.0,1.0,0.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,18.0,3.0,2.0,0.0,0.0
