,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.14,0.48,0.29,0.25,0.24,0.16,0.45,0.0,0.77,0.35,0.18,0.45,0.17,0.11,0.62,0.21,0.6,0.0
arsenal-1.csv,0.22,0.01,0.06,0.39,0.06,0.0,0.06,0.69,0.06,0.11,0.0,0.21,0.1,0.05,0.24,0.0,0.04,0.0
atomsite.csv,0.56,0.74,0.65,0.45,0.62,0.53,0.61,0.51,0.78,0.63,0.53,0.68,0.24,0.38,0.41,0.48,0.67,0.0
barracudamvc.csv,0.71,0.2,0.0,0.75,0.45,0.5,0.09,0.0,0.0,0.09,0.0,0.25,0.0,0.55,0.21,0.09,0.13,0.05
emisview.csv,0.22,0.0,0.21,0.18,0.12,0.11,0.41,0.18,0.73,0.56,0.2,0.53,0.0,0.11,0.61,0.29,0.48,0.0
findbugs.csv,0.0,0.66,0.55,0.44,0.13,0.39,0.4,0.13,0.71,0.42,0.66,0.67,0.09,0.43,0.59,0.6,0.37,0.67
jitterbit.csv,0.0,0.63,0.54,0.45,0.39,0.61,0.71,0.0,0.74,0.57,0.36,0.7,0.26,0.42,0.57,0.65,0.62,0.0
lite.csv,0.54,0.17,0.19,0.54,0.29,0.32,0.37,0.59,0.36,0.26,0.2,0.19,0.31,0.31,0.73,0.21,0.42,0.0
megasquirtavr.csv,0.0,0.0,0.26,0.41,0.59,0.0,0.46,0.0,0.33,0.0,0.17,0.59,0.52,0.0,0.59,0.46,0.45,0.0
ontopia.csv,0.52,0.0,0.6,0.24,0.23,0.47,0.53,0.44,0.54,0.59,0.39,0.36,0.0,0.76,0.48,0.49,0.37,0.0
openintents.csv,0.59,0.41,0.0,0.41,0.24,0.64,0.34,0.0,0.5,0.0,0.28,0.41,0.38,0.5,0.62,0.36,0.63,0.09
rectracker.csv,0.0,0.0,0.87,0.34,0.47,0.13,0.09,0.54,0.0,0.53,0.0,0.05,0.71,0.0,0.52,0.0,0.0,0.6
stajistics.csv,0.53,0.21,0.17,0.64,0.0,0.58,0.17,0.58,0.71,0.3,0.31,0.43,0.62,0.52,0.64,0.49,0.67,0.0
trackit.csv,0.24,0.06,0.24,0.12,0.18,0.42,0.31,0.0,0.4,0.2,0.65,0.34,0.27,0.21,0.36,0.13,0.16,0.0
wxlua.csv,0.3,0.34,0.52,0.4,0.44,0.2,0.35,0.34,0.57,0.2,0.45,0.51,0.72,0.43,0.09,0.41,0.27,0.88
x4x.csv,0.75,0.0,0.38,0.55,0.64,0.33,0.54,0.61,0.45,0.53,0.58,0.57,0.36,0.27,0.57,0.54,0.51,0.0
xharbour.csv,0.29,0.8,0.64,0.0,0.61,0.44,0.71,0.0,0.6,0.56,0.58,0.61,0.62,0.58,0.59,0.51,0.56,0.0
