,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.7,0.49,0.66,0.47,0.72,0.65,0.72,0.62,0.68,0.57,0.71,0.54,0.49,0.43,0.69,0.6,0.82,0.72,0.6,0.55
decidr.csv,0.64,0.71,0.64,0.71,0.58,0.3,0.37,0.0,0.35,0.13,0.73,0.0,0.0,0.3,0.63,0.54,0.53,0.13,0.55,0.09
elmo.csv,0.34,0.62,0.05,0.29,0.4,0.32,0.23,0.1,0.26,0.13,0.26,0.02,0.17,0.0,0.0,0.35,0.15,0.1,0.19,0.21
gpac.csv,0.15,0.0,0.21,0.52,0.6,0.24,0.17,0.0,0.45,0.44,0.0,0.64,0.05,0.13,0.21,0.6,0.0,0.37,0.41,0.45
img-browse-sort.csv,0.77,0.43,0.65,0.68,0.72,0.6,0.68,0.6,0.64,0.65,0.63,0.57,0.45,0.56,0.71,0.63,0.84,0.76,0.55,0.35
jajuk.csv,0.66,0.43,0.66,0.79,0.74,0.65,0.57,0.68,0.69,0.62,0.24,0.47,0.7,0.0,0.66,0.66,0.66,0.67,0.0,0.62
ktc.csv,0.76,0.44,0.66,0.69,0.6,0.61,0.16,0.65,0.63,0.41,0.57,0.55,0.54,0.33,0.29,0.65,0.58,0.55,0.56,0.47
nativeclient.csv,0.79,0.42,0.66,0.74,0.68,0.62,0.64,0.6,0.66,0.4,0.61,0.53,0.53,0.62,0.61,0.7,0.82,0.75,0.44,0.66
neoengine.csv,0.54,0.0,0.64,0.73,0.72,0.48,0.64,0.3,0.34,0.71,0.69,0.33,0.7,0.67,0.28,0.64,0.63,0.72,0.49,0.53
nicepress.csv,0.59,0.69,0.44,0.63,0.68,0.47,0.45,0.17,0.76,0.77,0.69,0.32,0.17,0.56,0.58,0.52,0.61,0.61,0.45,0.56
omseek.csv,0.36,0.0,0.17,0.5,0.44,0.19,0.02,0.38,0.26,0.07,0.23,0.05,0.15,0.5,0.23,0.69,0.64,0.54,0.48,0.24
rosegarden.csv,0.78,0.61,0.64,0.74,0.57,0.59,0.28,0.63,0.71,0.56,0.56,0.6,0.43,0.25,0.48,0.7,0.7,0.69,0.42,0.63
sigil.csv,0.74,0.23,0.6,0.66,0.68,0.61,0.61,0.31,0.56,0.46,0.52,0.19,0.24,0.13,0.7,0.62,0.81,0.73,0.54,0.25
smarttag.csv,0.61,0.44,0.66,0.42,0.52,0.54,0.54,0.17,0.52,0.6,0.33,0.31,0.2,0.65,0.61,0.62,0.6,0.49,0.51,0.23
sylpheed-claws.csv,0.24,0.0,0.27,0.13,0.21,0.0,0.0,0.6,0.27,0.0,0.44,0.68,0.69,0.21,0.0,0.0,0.0,0.0,0.56,0.0
tango-cs.csv,0.63,0.44,0.6,0.44,0.5,0.54,0.44,0.16,0.62,0.65,0.64,0.45,0.47,0.25,0.58,0.54,0.61,0.48,0.55,0.46
vapor.csv,0.0,0.0,0.67,0.65,0.0,0.65,0.38,0.67,0.0,0.0,0.73,0.0,0.0,0.0,0.05,0.66,0.0,0.21,0.0,0.45
xemeiah.csv,0.63,0.24,0.64,0.54,0.64,0.5,0.4,0.62,0.53,0.67,0.56,0.58,0.58,0.49,0.77,0.47,0.72,0.49,0.59,0.25
zorannt.csv,0.55,0.6,0.29,0.67,0.72,0.52,0.63,0.54,0.42,0.43,0.49,0.67,0.63,0.51,0.54,0.55,0.57,0.68,0.55,0.43
zscreen.csv,0.72,0.24,0.64,0.56,0.63,0.72,0.75,0.1,0.67,0.64,0.61,0.19,0.16,0.4,0.66,0.72,0.73,0.5,0.56,0.26
