,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.44,0.03,0.43,0.24,0.22,0.0,0.05,0.03,0.62,0.25,0.26,0.08,0.81,0.82,0.31,0.0,0.76
bionote.csv,0.63,0.05,0.05,0.67,0.25,0.0,0.33,0.37,0.2,0.25,0.19,0.21,0.19,0.36,0.29,0.0,0.17
bullet.csv,0.89,0.23,0.57,0.79,0.59,0.4,0.33,0.29,0.9,0.44,0.38,0.31,0.94,0.38,0.78,0.0,0.52
dxengine.csv,0.04,0.13,0.14,0.61,0.22,0.5,0.19,0.22,0.06,0.44,0.36,0.12,0.1,0.0,0.29,0.0,0.45
emono.csv,0.77,0.31,0.48,0.97,0.51,1.0,0.76,0.37,0.78,0.69,0.81,0.27,0.56,0.62,0.8,1.0,0.43
findbugs.csv,0.21,0.18,0.33,0.73,0.55,0.5,0.71,0.37,0.44,0.56,0.53,0.48,0.52,0.28,0.33,1.0,0.26
hazelcast.csv,0.48,0.5,0.67,0.91,0.61,0.0,0.62,0.5,0.44,0.94,0.29,0.31,0.65,0.62,0.73,0.0,0.81
jedit.csv,0.16,0.84,0.9,0.97,0.98,1.0,1.0,0.98,0.8,1.0,0.98,0.9,0.85,0.54,0.91,1.0,1.0
jmonkeyengine.csv,0.11,0.74,0.19,0.15,0.71,0.1,0.57,0.7,0.18,0.19,0.48,0.83,0.42,0.15,0.07,1.0,0.76
kolmafia.csv,0.81,0.67,0.62,0.94,0.76,0.1,0.71,0.85,0.84,0.81,0.97,0.62,0.79,0.23,0.87,0.0,0.83
lamp.csv,0.25,0.24,0.29,0.64,0.47,0.2,0.48,0.52,0.3,0.56,0.28,0.31,0.31,1.0,0.53,0.0,1.0
lcfizvtop.csv,0.59,0.55,0.57,0.55,0.57,0.0,0.19,0.32,0.62,0.56,0.21,0.21,0.69,0.85,0.76,0.0,0.9
onotoa.csv,0.69,0.53,0.43,0.33,0.57,1.0,0.62,0.52,0.64,0.56,0.79,0.71,0.73,0.31,0.6,1.0,0.36
openintents.csv,0.83,0.97,0.76,0.33,0.61,0.2,0.71,0.57,1.0,0.31,0.38,0.77,0.79,0.9,0.8,1.0,0.57
qlc.csv,0.08,0.12,0.24,0.48,0.47,0.0,0.52,0.38,0.38,0.5,0.17,0.15,0.33,0.38,0.49,0.0,0.33
triplea.csv,0.65,0.78,0.38,0.91,0.86,0.9,0.52,0.5,0.62,0.5,0.64,0.44,0.92,0.97,0.62,1.0,0.88
