,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,1044.0,191.0,280.5,374.0,98.5,92.5,647.5,854.5,98.5,98.5,1587.5,99.0,388.0,98.5
flylinkdc.csv,272.5,99.0,469.5,443.5,98.5,98.5,647.5,99.0,89.5,97.5,953.5,99.0,95.5,98.5
grisbi.csv,1231.5,99.0,664.0,285.5,98.5,98.5,651.5,99.0,98.5,98.5,1486.5,99.0,388.0,98.5
jaolt.csv,655.0,385.5,665.0,620.5,98.5,98.5,647.5,99.0,98.5,98.5,522.0,99.0,194.0,98.5
maidsafe-dht.csv,268.5,93.5,280.5,526.0,98.5,98.5,375.0,97.5,98.5,98.5,0.0,99.0,565.0,98.5
mimosa.csv,951.5,99.0,666.0,285.5,98.5,98.5,1213.0,99.0,98.5,97.5,1767.5,99.0,290.5,98.5
n2cms.csv,1134.5,95.5,188.0,529.0,98.5,98.5,461.5,97.5,98.5,98.5,421.0,99.0,388.0,98.5
nassp.csv,83.5,192.0,185.0,253.5,98.5,86.5,182.0,902.0,89.5,95.5,32.0,96.5,93.5,164.0
nug.csv,1227.0,99.0,88.5,191.0,96.5,187.0,957.5,99.0,0.0,97.5,437.0,98.5,192.0,98.5
quantlib.csv,1424.0,197.0,5.5,374.0,98.5,97.5,743.0,0.0,98.5,0.0,0.0,0.0,93.5,0.0
red5.csv,1333.5,99.0,376.0,285.5,96.5,97.5,743.0,99.0,98.5,97.5,1685.0,99.0,388.0,98.5
super-tux.csv,1423.0,97.5,382.5,93.5,98.5,96.5,186.0,97.5,98.5,98.5,1685.0,99.0,388.0,98.5
tcvp.csv,185.0,81.5,81.0,0.0,71.5,91.5,264.5,0.0,0.0,45.5,558.5,91.5,32.0,83.5
zxing.csv,851.0,99.0,470.5,438.5,98.5,96.5,461.5,99.0,98.5,98.5,801.0,99.0,388.0,98.5
