,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.89,0.75,0.0,0.86,0.8,0.75,0.96,0.5,0.94,0.75,0.67,0.95,0.9,0.9,0.92,0.5,0.91,0.0,0.92,0.83
etherboot.csv,0.66,0.65,0.95,0.97,0.73,0.49,0.81,0.6,0.86,0.94,0.93,0.94,0.86,0.73,0.68,0.81,0.95,0.86,0.99,0.81
gebr.csv,0.38,0.46,0.45,0.46,0.39,0.42,0.43,0.42,0.45,0.36,0.38,0.35,0.44,0.52,0.41,0.36,0.42,0.46,0.38,0.35
gpac.csv,0.95,0.88,0.92,0.77,0.84,0.58,0.96,0.74,0.65,0.51,0.56,0.98,0.96,0.95,0.98,0.76,0.69,0.91,0.73,0.71
gstreamer.csv,0.45,0.54,0.5,0.48,0.47,0.48,0.46,0.49,0.51,0.38,0.5,0.38,0.46,0.52,0.5,0.4,0.48,0.65,0.45,0.35
kml.csv,0.61,0.73,0.59,0.7,0.69,0.8,0.61,0.56,0.82,0.49,0.5,0.88,0.62,0.84,0.63,0.46,0.52,0.76,0.5,0.52
ktc.csv,0.5,0.6,0.51,0.58,0.52,0.82,0.6,0.65,0.53,0.45,0.83,0.77,0.54,0.48,0.58,0.68,0.47,0.52,0.73,0.47
mbse.csv,0.52,0.72,0.53,0.75,0.53,0.51,0.6,0.55,0.59,0.43,0.65,0.84,0.58,0.63,0.51,0.46,0.55,0.48,0.62,0.49
miranda.csv,0.43,0.77,0.48,0.57,0.5,0.6,0.92,0.5,0.44,0.49,0.52,0.41,0.51,0.44,0.46,0.63,0.51,0.49,0.39,0.4
neoengine.csv,0.44,0.54,0.6,0.59,0.45,0.49,0.53,0.5,0.63,0.4,0.54,0.41,0.58,0.7,0.59,0.43,0.47,0.51,0.43,0.36
nicepress.csv,0.65,0.88,0.78,0.53,0.78,0.0,0.67,0.6,0.93,0.77,0.8,0.5,0.62,0.6,0.67,0.46,0.75,0.93,0.53,0.62
omseek.csv,0.95,0.5,0.67,0.92,0.93,0.93,0.98,0.57,0.83,0.88,0.84,0.73,0.98,0.9,0.97,0.72,0.98,0.75,0.96,0.97
pcsx2.csv,0.53,0.56,0.62,0.72,0.71,0.47,0.67,0.57,0.68,0.35,0.48,0.36,0.53,0.69,0.58,0.41,0.49,0.94,0.44,0.38
plplot.csv,0.55,0.5,0.46,0.47,0.63,0.47,0.55,0.48,0.64,0.32,0.5,0.36,0.57,0.69,0.6,0.36,0.44,0.81,0.35,0.4
rosegarden.csv,0.51,0.62,0.52,0.62,0.62,0.51,0.65,0.62,0.72,0.62,0.53,0.71,0.68,0.71,0.65,0.82,0.46,0.74,0.68,0.37
smarttag.csv,0.46,0.75,0.56,0.61,0.61,0.58,0.63,0.58,0.74,0.75,0.79,0.97,0.76,0.91,0.63,0.68,0.54,0.87,0.97,0.56
vapor.csv,0.93,0.0,0.97,0.91,0.85,0.5,0.98,0.8,0.75,0.92,0.58,0.92,0.95,0.5,0.94,0.86,0.97,0.9,0.72,0.63
wxjs.csv,0.0,0.0,0.8,0.0,0.0,0.83,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.86,0.86,0.0
zorannt.csv,0.98,0.46,0.96,0.91,0.95,0.64,0.97,0.63,0.91,0.51,0.4,0.78,0.92,0.88,0.97,0.54,0.7,0.92,0.7,0.97
zscreen.csv,0.63,0.5,0.91,0.89,0.71,0.48,0.78,0.74,0.69,0.52,0.5,0.4,0.55,0.75,0.83,0.45,0.5,0.85,0.46,0.59
