,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.02,0.83,0.0,0.05,0.05,0.09,0.05,0.0,0.27,0.05,0.0,0.07,0.34,0.0,0.04,0.04,0.04,0.0,0.06,0.01
etherboot.csv,0.38,0.34,0.27,0.3,0.42,0.48,0.44,0.53,0.96,0.19,0.24,0.06,0.39,0.42,0.45,0.34,0.3,0.0,0.27,0.31
gebr.csv,0.72,0.39,0.74,0.62,0.56,0.59,0.62,0.56,0.57,0.57,0.43,0.3,0.91,0.5,0.52,0.66,0.65,0.48,0.59,0.55
gpac.csv,0.27,0.24,0.25,0.41,0.23,0.54,0.32,0.38,0.39,0.93,0.5,0.24,0.26,0.37,0.28,0.35,0.44,0.14,0.39,0.4
gstreamer.csv,0.68,0.23,0.62,0.6,0.74,0.5,0.62,0.63,0.47,0.59,0.46,0.68,0.56,0.55,0.55,0.7,0.6,0.14,0.97,0.61
kml.csv,0.46,0.23,0.6,0.48,0.43,0.3,0.48,0.53,0.31,0.55,0.33,0.41,0.47,0.22,0.59,0.98,0.56,0.29,0.58,0.49
ktc.csv,0.97,0.24,0.56,0.65,0.52,0.2,0.55,0.36,0.44,0.42,0.25,0.45,0.4,0.67,0.49,0.41,0.49,0.41,0.34,0.51
mbse.csv,0.61,0.55,0.56,0.5,0.58,0.33,0.55,0.53,0.56,0.49,0.4,0.86,0.19,0.53,0.63,0.39,0.48,0.72,0.44,0.49
miranda.csv,0.72,0.45,0.4,0.59,0.61,0.42,0.33,0.58,0.57,0.51,0.54,0.62,0.47,0.7,0.63,0.31,0.55,0.4,0.6,0.98
neoengine.csv,0.63,0.27,0.97,0.52,0.46,0.65,0.65,0.6,0.51,0.61,0.49,0.59,0.46,0.55,0.58,0.38,0.58,0.51,0.45,0.58
nicepress.csv,0.48,0.0,0.26,0.43,0.28,0.02,0.52,0.98,0.11,0.27,0.09,0.56,0.39,0.42,0.46,0.65,0.3,0.14,0.55,0.34
omseek.csv,0.09,0.0,0.04,0.16,0.14,0.2,0.16,0.54,0.0,0.24,0.32,0.41,0.32,0.23,0.9,0.36,0.27,0.0,0.11,0.11
pcsx2.csv,0.65,0.68,0.57,0.56,0.46,0.59,0.62,0.54,0.45,0.76,0.56,0.05,0.52,0.43,0.62,0.61,0.99,0.0,0.64,0.67
plplot.csv,0.57,0.0,0.58,0.66,0.44,0.53,0.67,0.58,0.36,0.0,0.44,0.0,0.59,0.8,0.68,0.0,0.63,0.14,0.64,0.64
rosegarden.csv,0.61,0.57,0.5,0.52,0.59,0.45,0.97,0.46,0.27,0.4,0.53,0.43,0.45,0.59,0.55,0.42,0.54,0.14,0.43,0.64
smarttag.csv,0.73,0.24,0.62,0.57,0.55,0.43,0.52,0.64,0.31,0.38,1.0,0.26,0.24,0.28,0.37,0.37,0.53,0.29,0.17,0.55
vapor.csv,0.34,0.0,0.24,0.16,0.83,0.05,0.26,0.1,0.22,0.17,0.64,0.15,0.2,0.06,0.21,0.17,0.17,0.0,0.38,0.39
wxjs.csv,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9,0.04,0.0
zorannt.csv,0.2,0.44,0.15,0.97,0.19,0.42,0.28,0.37,0.11,0.46,0.0,0.32,0.16,0.23,0.31,0.54,0.38,0.14,0.33,0.16
zscreen.csv,0.47,0.6,0.36,0.43,0.36,0.97,0.35,0.37,0.5,0.48,0.45,0.23,0.45,0.37,0.43,0.74,0.58,0.0,0.61,0.52
