,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.29,0.12,0.33,0.66,0.44,0.25,0.38,0.56,0.09,0.32,0.18,0.31
gamestone.csv,0.87,0.42,0.5,0.45,0.06,0.04,0.59,0.21,0.65,0.11,0.13,0.43
geochat.csv,0.28,0.35,0.05,0.35,0.27,0.2,0.35,0.17,0.63,0.29,0.39,0.51
igarden.csv,0.14,0.67,0.14,0.5,0.42,0.57,0.1,0.53,0.51,0.41,0.56,0.16
ingex.csv,0.15,0.53,0.68,0.48,0.43,0.64,0.55,0.44,0.37,0.61,0.39,0.37
lphant.csv,0.82,0.61,0.57,0.63,0.48,0.62,0.76,0.73,0.56,0.73,0.59,0.59
nabu-library.csv,0.53,0.42,0.36,0.2,0.84,0.51,0.0,0.26,0.0,0.21,0.52,0.23
nebuladevice.csv,0.53,0.0,0.0,0.47,0.35,0.45,0.17,0.21,0.73,0.53,0.6,0.0
owlapi.csv,0.0,0.16,0.69,0.26,0.49,0.41,0.15,0.42,0.16,0.56,0.3,0.43
pi-qmc.csv,0.84,0.52,0.56,0.59,0.61,0.56,0.52,0.53,0.56,0.86,0.49,0.59
trinitycore.csv,0.66,0.61,0.05,0.38,0.1,0.28,0.34,0.17,0.78,0.0,0.68,0.23
twostep.csv,0.61,0.61,0.0,0.0,0.2,0.38,0.85,0.46,0.61,0.76,0.57,0.44
