,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.25,0.1,0.32,0.65,0.4,0.21,0.35,0.55,0.07,0.27,0.15,0.27
gamestone.csv,0.88,0.39,0.48,0.43,0.05,0.03,0.77,0.18,0.87,0.09,0.11,0.4
geochat.csv,0.25,0.32,0.04,0.3,0.32,0.17,0.5,0.14,0.67,0.32,0.36,0.47
igarden.csv,0.12,0.68,0.12,0.48,0.48,0.55,0.08,0.5,0.47,0.36,0.53,0.13
ingex.csv,0.12,0.52,0.68,0.48,0.82,0.62,0.5,0.41,0.33,0.59,0.35,0.33
lphant.csv,0.88,0.81,0.6,0.78,0.44,0.76,0.92,0.73,0.8,0.73,0.6,0.63
nabu-library.csv,0.5,0.39,0.32,0.17,0.87,0.93,0.0,0.23,0.0,0.18,0.55,0.2
nebuladevice.csv,0.5,0.0,0.0,0.57,0.76,0.41,0.15,0.18,0.73,0.5,0.78,0.0
owlapi.csv,0.0,0.13,0.68,0.22,0.8,0.38,0.12,0.77,0.13,0.59,0.27,0.4
pi-qmc.csv,0.88,0.81,0.56,0.7,0.59,0.72,0.85,0.86,0.8,0.86,0.51,0.73
trinitycore.csv,0.75,0.65,0.04,0.35,0.08,0.24,0.31,0.14,0.87,0.0,0.71,0.2
twostep.csv,0.62,0.87,1.0,1.0,0.85,0.83,0.85,0.95,0.67,0.77,0.78,0.93
