,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.44,0.3,0.17,0.26,0.41,0.32,0.02,0.5,0.5,0.21,0.22,0.3,0.76,0.2
emeraldemu.csv,0.1,0.36,0.49,0.08,0.0,0.05,0.53,0.08,0.26,0.03,0.03,0.03,0.08,0.12
frogatto.csv,0.29,0.4,0.45,0.17,0.5,0.22,0.47,0.53,0.57,0.24,0.31,0.0,0.74,0.28
grafx2.csv,0.36,0.55,0.42,0.57,0.49,0.54,0.68,0.55,0.61,0.0,0.53,0.76,0.5,0.56
jahshakafx.csv,0.0,0.17,0.05,0.04,0.12,0.09,0.23,0.14,0.09,0.08,0.12,0.06,0.18,0.12
nassp.csv,0.13,0.08,0.07,0.12,0.16,0.03,0.19,0.32,0.0,0.08,0.0,0.27,0.11,0.15
netatalk.csv,0.22,0.32,0.16,0.04,0.21,0.11,0.23,0.2,0.26,0.13,0.12,0.15,0.0,0.06
open-beos.csv,0.79,0.46,0.25,0.45,0.5,0.01,0.89,0.8,0.63,0.29,0.59,0.45,0.92,0.58
psycle.csv,0.54,0.77,0.75,0.01,0.65,0.46,0.68,0.73,0.85,0.53,0.66,0.52,0.63,0.73
quantlib.csv,0.05,0.3,0.46,0.24,0.38,0.07,0.32,0.2,0.43,0.03,0.28,0.15,0.03,0.0
reaper-ecad.csv,0.56,0.38,0.0,0.6,0.2,0.12,0.6,0.05,0.3,0.08,0.25,0.42,0.39,0.2
sbml.csv,0.32,0.48,0.78,0.57,0.56,0.57,0.47,0.39,0.57,0.42,0.0,0.61,0.74,0.66
unimrcp.csv,0.4,0.18,0.11,0.09,0.11,0.14,0.4,0.0,0.22,0.16,0.06,0.33,0.08,0.17
unladen-swallow.csv,0.54,0.02,0.05,0.7,0.03,0.07,0.3,0.49,0.54,0.05,0.72,0.67,0.5,0.44
