,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.25,0.26,0.32,0.48,0.48,0.51,0.97,0.53,0.37,0.58,0.58,0.74,0.41,0.24
emeraldemu.csv,0.51,0.23,0.31,0.39,0.97,0.33,0.55,0.31,0.34,0.4,0.34,0.32,0.3,0.25
frogatto.csv,0.58,0.32,0.32,0.58,0.47,0.56,0.61,0.43,0.38,0.78,0.65,0.99,0.47,0.21
grafx2.csv,0.47,0.27,0.35,0.71,0.44,0.47,0.67,0.4,0.43,0.99,0.79,0.66,0.5,0.36
jahshakafx.csv,0.99,0.33,0.17,0.35,0.44,0.31,0.48,0.28,0.48,0.49,0.37,0.42,0.44,0.21
nassp.csv,0.53,0.2,0.4,0.56,0.52,0.22,0.49,0.54,0.91,0.52,0.58,0.64,0.43,0.27
netatalk.csv,0.57,0.34,0.38,0.45,0.56,0.5,0.46,0.5,0.45,0.45,0.63,0.56,1.0,0.33
open-beos.csv,0.46,0.29,0.29,0.69,0.51,0.97,0.6,0.45,0.42,0.6,0.77,0.71,0.39,0.28
psycle.csv,0.58,0.23,0.26,0.99,0.51,0.6,0.6,0.43,0.38,0.74,0.76,0.71,0.45,0.31
quantlib.csv,0.16,0.23,0.28,0.43,0.49,0.3,0.56,0.42,0.36,0.27,0.67,0.48,0.0,0.98
reaper-ecad.csv,0.3,0.16,0.98,0.48,0.42,0.23,0.56,0.12,0.32,0.16,0.47,0.39,0.43,0.21
sbml.csv,0.6,0.29,0.26,0.74,0.54,0.57,0.52,0.53,0.45,0.47,0.99,0.7,0.35,0.36
unimrcp.csv,0.43,0.32,0.21,0.46,0.5,0.36,0.51,0.98,0.37,0.39,0.3,0.58,0.38,0.18
unladen-swallow.csv,0.24,0.69,0.06,0.55,0.15,0.18,0.42,0.27,0.39,0.42,0.62,0.47,0.31,0.37
