,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.29,0.49,0.42,0.36,0.61,0.51,0.96,0.85,0.67,0.49,0.45,0.75,0.79,0.25
emeraldemu.csv,0.42,0.5,0.79,0.25,0.94,0.21,0.57,0.22,0.42,0.26,0.21,0.19,0.21,0.21
frogatto.csv,0.68,0.78,0.79,0.45,0.66,0.51,0.63,0.67,0.75,0.77,0.54,0.97,0.93,0.25
grafx2.csv,0.56,0.82,0.83,0.71,0.59,0.56,0.84,0.63,0.92,0.98,0.8,0.83,0.79,0.71
jahshakafx.csv,0.98,0.46,0.12,0.21,0.35,0.21,0.39,0.22,0.42,0.35,0.24,0.28,0.43,0.17
nassp.csv,0.47,0.18,0.38,0.41,0.48,0.13,0.39,0.7,0.83,0.37,0.41,0.58,0.36,0.25
netatalk.csv,0.6,0.71,0.5,0.3,0.58,0.39,0.37,0.52,0.58,0.33,0.49,0.44,1.0,0.25
open-beos.csv,0.84,0.77,0.46,0.64,0.73,0.96,0.8,0.93,0.92,0.53,0.79,0.78,0.86,0.54
psycle.csv,0.91,0.88,0.92,0.98,0.83,0.73,0.71,0.81,1.0,0.86,0.79,0.81,0.79,0.71
quantlib.csv,0.1,0.42,0.67,0.31,0.6,0.2,0.51,0.41,0.58,0.16,0.57,0.36,0.0,0.96
reaper-ecad.csv,0.4,0.33,0.96,0.41,0.39,0.15,0.61,0.07,0.42,0.09,0.34,0.33,0.57,0.21
sbml.csv,0.74,0.78,0.96,0.76,0.83,0.74,0.51,0.74,0.92,0.42,0.99,0.83,0.64,0.79
unimrcp.csv,0.53,0.45,0.21,0.31,0.41,0.26,0.47,0.96,0.42,0.28,0.18,0.53,0.29,0.17
unladen-swallow.csv,0.31,0.61,0.04,0.51,0.09,0.11,0.35,0.37,0.75,0.28,0.58,0.5,0.43,0.62
