,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.22,0.18,0.26,0.72,0.4,0.51,0.98,0.38,0.26,0.72,0.83,0.73,0.28,0.24
emeraldemu.csv,0.64,0.15,0.19,0.86,1.0,0.72,0.53,0.5,0.29,0.92,0.94,0.88,0.5,0.31
frogatto.csv,0.51,0.2,0.2,0.83,0.37,0.61,0.58,0.32,0.26,0.79,0.8,1.0,0.32,0.18
grafx2.csv,0.4,0.16,0.22,0.71,0.35,0.41,0.56,0.29,0.28,1.0,0.78,0.55,0.37,0.24
jahshakafx.csv,1.0,0.26,0.27,0.9,0.58,0.61,0.63,0.38,0.56,0.83,0.82,0.83,0.46,0.27
nassp.csv,0.62,0.23,0.43,0.87,0.57,0.72,0.68,0.44,1.0,0.84,1.0,0.7,0.56,0.3
netatalk.csv,0.55,0.23,0.31,0.93,0.55,0.71,0.62,0.48,0.37,0.74,0.9,0.76,1.0,0.5
open-beos.csv,0.32,0.18,0.21,0.74,0.4,0.98,0.48,0.3,0.28,0.68,0.76,0.65,0.26,0.19
psycle.csv,0.43,0.13,0.15,0.99,0.36,0.51,0.52,0.29,0.24,0.65,0.74,0.63,0.31,0.2
quantlib.csv,0.45,0.16,0.17,0.71,0.41,0.64,0.62,0.42,0.26,0.88,0.83,0.72,0.0,1.0
reaper-ecad.csv,0.24,0.1,1.0,0.57,0.46,0.47,0.52,0.33,0.26,0.57,0.76,0.46,0.35,0.21
sbml.csv,0.5,0.18,0.15,0.72,0.4,0.46,0.53,0.41,0.3,0.53,1.0,0.6,0.24,0.23
unimrcp.csv,0.37,0.24,0.22,0.87,0.62,0.56,0.55,1.0,0.33,0.67,0.88,0.63,0.57,0.2
unladen-swallow.csv,0.2,0.8,0.11,0.59,0.55,0.5,0.55,0.22,0.26,0.86,0.66,0.45,0.24,0.26
