,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.78,0.87,0.52,0.62,0.73,0.67,0.54,0.58,0.59,0.69
empserver.csv,0.65,0.79,0.84,0.76,0.47,0.73,0.71,0.6,0.65,0.68
enlightenment.csv,1.0,1.0,1.0,0.5,1.0,1.0,0.99,0.86,1.0,0.93
ffigo.csv,0.59,0.76,0.82,1.0,1.0,1.0,0.72,0.4,0.74,1.01
ildjit.csv,0.66,0.38,0.68,0.79,0.72,1.02,0.75,0.55,0.82,0.75
jfreereport.csv,0.88,0.97,0.6,0.84,0.95,1.0,0.77,0.78,0.94,0.95
mplayer-ce.csv,0.54,0.82,0.96,0.64,0.9,0.83,0.84,0.58,0.57,0.51
psycle.csv,0.46,0.84,0.51,0.77,0.69,0.65,0.72,0.61,0.84,0.58
wikipediardware.csv,0.54,0.98,1.0,0.64,0.97,0.92,0.84,0.79,0.79,0.35
wxjs.csv,0.94,1.0,0.94,1.0,1.0,0.19,1.0,1.0,1.0,1.0
