,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.35,0.18,0.31,0.53,0.41,0.19,0.43,0.6,0.54,0.47
empserver.csv,0.51,0.27,0.22,0.38,0.66,0.2,0.38,0.7,0.5,0.48
enlightenment.csv,0.79,0.37,0.23,0.68,0.69,0.15,0.36,0.79,0.62,0.85
ffigo.csv,0.61,0.26,0.15,0.01,0.0,0.0,0.32,0.81,0.38,0.0
ildjit.csv,0.53,0.59,0.24,0.34,0.48,0.0,0.39,0.61,0.58,0.4
jfreereport.csv,0.22,0.05,0.33,0.27,0.1,0.0,0.3,0.35,0.11,0.1
mplayer-ce.csv,0.64,0.25,0.24,0.53,0.62,0.18,0.38,0.68,0.55,0.72
psycle.csv,0.72,0.3,0.32,0.72,0.63,0.19,0.42,0.59,0.6,0.62
wikipediardware.csv,0.73,0.22,0.23,0.69,0.68,0.16,0.37,0.63,0.57,0.79
wxjs.csv,0.11,0.0,0.07,0.0,0.0,0.48,0.0,0.0,0.0,0.0
