,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.07,0.42,0.45,0.24,0.21,0.23,0.23,0.3,0.38,0.07
empserver.csv,0.2,0.57,0.81,0.14,0.27,0.73,0.69,0.52,0.42,0.0
enlightenment.csv,1.0,1.0,1.0,0.36,1.0,1.0,0.99,0.86,1.0,0.93
ffigo.csv,0.34,0.32,0.37,0.0,0.03,0.09,0.16,0.36,0.22,0.14
ildjit.csv,0.32,0.16,0.27,0.21,0.45,0.18,0.74,0.16,0.79,0.14
jfreereport.csv,0.03,0.11,0.18,0.08,0.06,0.04,0.09,0.07,0.02,0.0
mplayer-ce.csv,0.26,0.57,0.96,0.3,0.88,0.83,0.84,0.45,0.33,0.36
psycle.csv,0.3,0.75,0.45,0.76,0.64,0.63,0.72,0.34,0.83,0.29
wikipediardware.csv,0.46,0.8,1.0,0.59,0.97,0.92,0.83,0.7,0.75,0.14
wxjs.csv,0.04,0.01,0.14,0.0,0.0,0.19,0.0,0.0,0.0,0.0
