0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
datasets/jsdom.csv,0.41,0.49,0.60,0.48,0.63,0.58,0.50,0.46,0.38,0.46,0.43,0.24,0.48,0.54,0.53,0.49,0.46,0.56,0.51,0.49,0.54,0.42,0.50,0.54,0.48,0.55,0.48,0.42,0.50,0.45,0.43,0.57,0.51,0.42,1.00,0.48,0.67,0.50,0.50,0.49,0.54,0.47,0.42,0.50,0.58,0.63,0.50,0.55,0.46,0.68,0.54,0.44,0.50,0.50,0.54,0.58,0.62,0.46,0.55,0.51,0.51,0.43,0.41,0.51,0.52,0.50,0.47,0.33,0.51,0.42,0.25,0.54,0.40,0.55,0.30,
datasets/generator.csv,0.49,0.49,0.45,0.55,0.65,0.46,0.50,0.50,0.31,0.51,0.48,0.50,0.47,0.56,0.51,0.51,0.48,0.53,0.49,0.55,0.58,0.50,0.50,0.47,0.52,0.65,0.56,0.47,0.49,0.51,0.51,0.48,0.52,0.50,0.75,0.50,0.42,0.41,0.50,0.54,0.48,0.52,0.48,0.54,0.45,0.38,0.49,0.43,0.71,0.62,0.52,0.44,0.49,0.51,0.42,0.69,0.50,0.48,0.50,0.49,0.49,0.40,0.48,0.46,0.53,0.45,0.46,0.45,0.52,0.51,0.50,0.49,0.32,0.49,0.50,
datasets/chai-as-promised.csv,0.48,0.43,0.48,0.45,0.64,0.50,0.47,0.56,0.25,0.45,0.48,0.50,0.51,0.49,0.50,0.50,0.47,0.49,0.48,0.46,0.52,0.50,0.50,0.48,0.49,0.35,0.51,0.50,0.50,0.52,0.51,0.47,0.49,0.33,0.75,0.47,0.54,0.45,0.46,0.45,0.46,0.45,0.50,0.57,0.40,0.47,0.47,0.40,0.50,0.50,0.50,0.56,0.50,0.52,0.51,0.29,0.49,0.48,0.50,0.55,0.50,0.50,0.39,0.48,0.57,0.48,0.45,0.50,0.50,0.39,0.50,0.49,0.38,0.52,0.50,
datasets/grunt-contrib-watch.csv,0.50,0.41,0.52,0.48,0.42,0.58,0.49,0.52,0.44,0.48,0.47,0.40,0.51,0.51,0.41,0.50,0.51,0.48,0.44,0.53,0.48,0.63,0.50,0.44,0.43,0.50,0.51,0.49,0.39,0.54,0.52,0.45,0.50,0.25,0.50,0.54,0.58,0.56,0.53,0.48,0.46,0.49,0.53,0.48,0.58,0.38,0.49,0.38,0.67,0.37,0.43,0.44,0.50,0.51,0.48,0.35,0.50,0.47,0.52,0.46,0.47,0.63,0.62,0.52,0.50,0.41,0.48,0.65,0.56,0.51,0.42,0.47,0.51,0.47,0.50,
datasets/chalk.csv,0.52,0.45,0.55,0.53,0.32,0.54,0.50,0.47,0.63,0.51,0.51,0.54,0.51,0.43,0.50,0.49,0.55,0.45,0.40,0.48,0.48,0.60,0.42,0.51,0.52,0.35,0.53,0.52,0.57,0.48,0.49,0.52,0.52,0.58,0.00,0.46,0.58,0.50,0.54,0.52,0.60,0.49,0.52,0.45,0.80,0.49,0.52,0.53,0.63,0.60,0.47,0.56,0.51,0.49,0.48,0.38,0.50,0.46,0.47,0.48,0.50,0.50,0.52,0.47,0.51,0.47,0.53,0.38,0.54,0.58,0.50,0.46,0.42,0.49,0.50,
datasets/babel-loader.csv,0.50,0.51,0.51,0.61,0.55,0.31,0.48,0.50,0.31,0.51,0.52,0.55,0.50,0.49,0.45,0.50,0.57,0.44,0.41,0.52,0.48,0.44,0.58,0.49,0.49,0.80,0.50,0.56,0.64,0.52,0.48,0.55,0.50,0.42,0.50,0.49,0.50,0.41,0.49,0.52,0.49,0.49,0.47,0.55,0.40,0.49,0.49,0.42,0.58,0.69,0.58,0.50,0.50,0.49,0.38,0.48,0.51,0.50,0.53,0.47,0.49,0.50,0.52,0.47,0.54,0.50,0.46,0.45,0.54,0.46,0.67,0.50,0.45,0.49,0.40,
datasets/grunt-contrib-jshint.csv,0.51,0.56,0.52,0.47,0.50,0.46,0.53,0.46,0.56,0.52,0.47,0.34,0.50,0.58,0.51,0.52,0.51,0.55,0.60,0.56,0.53,0.50,0.42,0.51,0.56,0.50,0.50,0.53,0.54,0.47,0.51,0.43,0.49,0.42,0.50,0.47,0.50,0.46,0.51,0.45,0.55,0.48,0.46,0.51,0.53,0.57,0.50,0.45,0.46,0.39,0.57,0.50,0.50,0.50,0.46,0.58,0.67,0.48,0.50,0.48,0.54,0.48,0.32,0.43,0.47,0.55,0.52,0.33,0.45,0.48,0.38,0.58,0.46,0.55,0.50,
datasets/mocha.csv,0.50,0.56,0.46,0.41,0.43,0.60,0.42,0.46,0.56,0.54,0.49,0.46,0.47,0.45,0.51,0.48,0.52,0.54,0.48,0.51,0.51,0.50,0.50,0.55,0.54,0.30,0.49,0.54,0.54,0.50,0.45,0.50,0.50,0.50,0.50,0.49,0.54,0.51,0.43,0.50,0.42,0.47,0.51,0.44,0.60,0.50,0.49,0.48,0.42,0.60,0.52,0.56,0.49,0.49,0.48,0.44,0.50,0.51,0.47,0.53,0.52,0.40,0.63,0.52,0.48,0.52,0.51,0.55,0.50,0.53,0.71,0.56,0.47,0.51,0.60,
datasets/node-semver.csv,0.51,0.43,0.49,0.53,0.50,0.50,0.38,0.46,0.50,0.45,0.55,0.50,0.50,0.42,0.47,0.52,0.55,0.48,0.38,0.44,0.52,0.50,0.50,0.49,0.42,0.50,0.52,0.50,0.51,0.51,0.51,0.47,0.45,0.75,0.25,0.52,0.46,0.53,0.45,0.50,0.51,0.52,0.56,0.49,0.50,0.38,0.52,0.48,0.50,0.50,0.50,0.50,0.51,0.47,0.50,0.23,0.50,0.47,0.36,0.50,0.45,0.55,0.47,0.52,0.52,0.42,0.49,0.55,0.60,0.51,0.50,0.44,0.42,0.45,0.50,
datasets/gulp-rename.csv,0.50,0.47,0.49,0.56,0.52,0.29,0.42,0.52,0.48,0.53,0.56,0.42,0.50,0.52,0.50,0.51,0.49,0.48,0.58,0.45,0.49,0.52,0.50,0.52,0.50,0.65,0.49,0.53,0.37,0.51,0.51,0.47,0.50,0.67,0.25,0.50,0.46,0.62,0.52,0.47,0.46,0.52,0.52,0.45,0.70,0.54,0.51,0.45,0.38,0.55,0.53,0.50,0.49,0.50,0.58,0.52,0.50,0.54,0.50,0.53,0.51,0.45,0.47,0.45,0.42,0.52,0.53,0.58,0.55,0.48,0.50,0.66,0.69,0.51,0.50,
datasets/browserify.csv,0.50,0.45,0.57,0.41,0.43,0.60,0.54,0.49,0.54,0.63,0.48,0.49,0.48,0.49,0.44,0.53,0.38,0.60,0.47,0.52,0.47,0.42,0.33,0.52,0.46,0.50,0.50,0.58,0.49,0.50,0.52,0.53,0.49,0.50,0.00,0.53,0.42,0.55,0.53,0.48,0.54,0.51,0.41,0.49,0.60,0.49,0.47,0.43,0.42,0.39,0.32,0.38,0.48,0.51,0.51,0.71,0.54,0.55,0.50,0.48,0.53,0.68,0.42,0.52,0.55,0.51,0.56,0.68,0.51,0.55,0.58,0.50,0.53,0.51,0.50,
datasets/sinon.csv,0.49,0.56,0.54,0.53,0.38,0.57,0.58,0.52,0.46,0.50,0.51,0.42,0.49,0.51,0.52,0.51,0.55,0.48,0.52,0.51,0.51,0.50,0.50,0.50,0.56,0.35,0.53,0.50,0.50,0.51,0.48,0.48,0.52,0.58,1.00,0.56,0.46,0.41,0.54,0.48,0.46,0.53,0.41,0.53,0.50,0.52,0.51,0.45,0.42,0.50,0.59,0.50,0.50,0.51,0.43,0.52,0.42,0.48,0.53,0.48,0.49,0.58,0.62,0.58,0.47,0.53,0.52,0.30,0.46,0.52,0.50,0.55,0.39,0.53,0.50,
datasets/grunt-contrib-uglify.csv,0.51,0.48,0.50,0.45,0.54,0.36,0.58,0.51,0.47,0.19,0.48,0.45,0.50,0.47,0.55,0.48,0.51,0.48,0.50,0.53,0.51,0.46,0.50,0.60,0.50,0.35,0.51,0.51,0.50,0.51,0.53,0.48,0.51,0.58,0.50,0.54,0.54,0.60,0.50,0.57,0.52,0.50,0.60,0.50,0.20,0.49,0.49,0.63,0.42,0.45,0.47,0.50,0.50,0.49,0.48,0.42,0.50,0.41,0.47,0.50,0.49,0.50,0.65,0.44,0.45,0.49,0.58,0.58,0.49,0.61,0.50,0.50,0.47,0.51,0.20,
datasets/q.csv,0.52,0.58,0.53,0.47,0.52,0.59,0.50,0.54,0.52,0.63,0.53,0.46,0.52,0.47,0.49,0.49,0.59,0.49,0.49,0.53,0.51,0.46,0.50,0.49,0.50,0.65,0.49,0.39,0.60,0.51,0.48,0.47,0.50,0.50,0.50,0.51,0.58,0.53,0.56,0.53,0.52,0.49,0.43,0.54,0.90,0.55,0.51,0.55,0.50,0.61,0.48,0.50,0.49,0.50,0.46,0.69,0.54,0.53,0.48,0.54,0.52,0.60,0.58,0.51,0.48,0.55,0.44,0.43,0.48,0.56,0.63,0.52,0.47,0.59,0.50,
datasets/body-parser.csv,0.49,0.47,0.48,0.47,0.51,0.28,0.50,0.49,0.53,0.69,0.48,0.51,0.60,0.49,0.48,0.49,0.58,0.61,0.44,0.50,0.48,0.52,0.50,0.45,0.47,0.50,0.55,0.58,0.46,0.53,0.53,0.47,0.50,0.50,0.50,0.42,0.46,0.49,0.47,0.51,0.46,0.49,0.63,0.47,0.35,0.39,0.49,0.45,0.38,0.33,0.37,0.44,0.50,0.49,0.47,0.63,0.48,0.46,0.50,0.48,0.48,0.55,0.48,0.46,0.50,0.48,0.48,0.35,0.54,0.52,0.71,0.54,0.46,0.40,0.50,
datasets/should.csv,0.51,0.49,0.50,0.61,0.43,0.58,0.62,0.50,0.43,0.38,0.51,0.49,0.50,0.49,0.48,0.50,0.57,0.48,0.46,0.52,0.48,0.56,0.50,0.43,0.53,0.50,0.49,0.48,0.61,0.51,0.49,0.48,0.52,0.58,1.00,0.58,0.54,0.46,0.44,0.43,0.35,0.48,0.49,0.55,0.60,0.60,0.49,0.45,0.63,0.56,0.47,0.38,0.50,0.52,0.45,0.44,0.45,0.51,0.58,0.48,0.50,0.50,0.50,0.55,0.55,0.48,0.42,0.70,0.57,0.55,0.46,0.42,0.41,0.53,0.50,
datasets/underscore.csv,0.49,0.56,0.53,0.57,0.62,0.57,0.46,0.50,0.43,0.38,0.54,0.53,0.72,0.51,0.48,0.51,0.48,0.58,0.49,0.51,0.51,0.46,0.50,0.40,0.56,0.60,0.49,0.54,0.54,0.46,0.49,0.53,0.45,0.67,1.00,0.46,0.50,0.46,0.48,0.48,0.48,0.45,0.48,0.51,0.50,0.44,0.52,0.58,0.50,0.52,0.56,0.44,0.51,0.49,0.37,0.25,0.65,0.50,0.50,0.50,0.55,0.50,0.57,0.47,0.51,0.54,0.54,0.50,0.50,0.53,0.33,0.54,0.53,0.50,0.30,
