,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.26,0.27,0.0,0.12,0.13,0.03,0.74,0.72,0.97,0.58,0.25,0.36,0.91,0.47,0.78,0.4,0.5,0.74,0.0
apolloplayer.csv,0.1,0.44,0.44,0.26,0.18,0.07,0.54,0.73,1.0,0.7,0.29,0.2,0.74,0.56,0.92,0.94,0.24,0.33,0.76
auber.csv,0.16,0.23,0.37,0.29,0.13,0.08,0.59,0.61,0.95,0.8,0.21,0.14,0.86,0.64,0.86,0.91,0.26,0.52,0.77
cortex-vfx.csv,0.18,0.31,0.5,0.14,0.21,0.1,0.67,0.74,0.98,0.65,0.18,0.36,0.86,0.51,0.83,0.94,0.37,1.0,0.92
growl-for-windows.csv,0.0,0.31,0.37,0.0,0.0,0.12,0.57,0.71,0.97,0.62,0.18,0.5,0.81,0.76,0.91,0.32,0.3,0.89,0.9
ifmo-game-1.csv,0.25,0.18,0.0,0.0,0.17,0.22,0.5,0.8,1.0,0.33,0.0,0.11,0.0,1.0,0.57,1.0,0.22,0.78,0.0
ildjit.csv,0.5,0.75,0.33,0.52,0.15,0.14,0.42,0.58,0.94,0.47,0.09,0.1,0.58,1.0,0.78,0.85,0.27,0.5,0.78
jfreereport.csv,0.4,0.5,0.57,0.07,0.27,0.08,0.58,0.52,0.95,0.82,0.21,0.31,0.94,0.71,0.91,0.53,0.53,0.86,1.0
keyczar.csv,0.11,0.0,0.32,0.0,0.0,0.0,0.35,0.08,0.88,0.2,0.31,0.0,0.89,0.38,0.76,0.0,0.0,0.63,0.75
moast.csv,0.14,0.21,0.46,0.23,0.12,0.03,0.53,0.67,0.94,0.39,0.25,0.19,0.76,0.34,0.87,1.0,0.19,0.58,0.73
opde.csv,0.2,0.25,0.54,0.14,0.21,0.12,0.54,0.69,0.98,0.56,0.19,0.21,0.86,0.52,0.88,0.91,0.23,0.71,0.81
openfrag.csv,0.17,0.23,0.4,0.15,0.13,0.11,0.67,0.79,0.98,0.76,0.21,0.18,0.0,0.62,0.89,0.89,0.2,0.7,0.86
passwordsafe.csv,0.19,0.34,0.54,0.15,0.15,0.09,0.72,0.69,0.98,0.76,0.27,0.28,0.79,0.67,0.94,0.91,0.24,0.68,0.8
ppcboot.csv,0.13,0.23,0.34,0.23,0.13,0.08,0.72,0.55,0.95,0.55,0.22,0.2,0.83,0.37,0.86,0.89,0.22,0.63,0.75
quark.csv,0.31,0.5,0.5,0.17,0.3,0.33,1.0,0.83,0.96,0.7,0.25,0.46,0.0,0.63,0.98,0.31,0.56,1.0,1.0
super-tux.csv,0.16,0.18,0.46,0.24,0.2,0.06,0.54,0.62,1.0,0.47,0.17,0.19,0.74,0.38,0.83,0.95,0.27,0.63,0.7
synergyspace.csv,0.12,0.19,0.47,0.11,0.1,0.09,0.56,0.52,0.91,0.62,0.39,0.0,0.62,0.32,0.71,0.75,0.2,0.55,0.78
wikipediardware.csv,0.12,0.25,0.35,0.17,0.13,0.07,0.52,0.55,0.97,0.64,0.24,0.2,0.81,0.39,0.81,0.89,0.26,0.57,0.93
xtreemfs.csv,0.17,0.33,0.48,0.23,0.2,0.07,0.55,0.77,0.96,0.56,0.3,0.29,0.76,0.48,0.95,0.95,0.27,0.75,0.71
