,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,99.0,97.5,95.5,98.5,98.5,192.0,197.5,1568.0,2230.5,267.5,95.5,295.0,903.0
autofac.csv,99.0,97.5,95.5,94.5,98.5,196.0,390.5,96.5,1924.5,140.0,97.5,95.5,1420.0
coot.csv,99.0,87.5,39.5,98.5,98.5,93.5,94.5,96.5,2229.5,157.0,97.5,389.5,1816.5
dsworkbench.csv,95.5,97.5,69.5,96.5,349.5,95.5,197.5,233.5,257.0,559.0,280.5,196.0,50.5
emono.csv,99.0,192.0,282.0,98.5,98.5,192.0,194.0,1423.0,2397.5,565.0,97.5,295.0,1412.5
exist.csv,99.0,97.5,292.0,98.5,98.5,196.0,197.5,96.5,2240.5,368.0,97.5,196.5,1226.0
freelords.csv,98.5,97.5,193.0,98.5,95.5,196.0,197.5,96.5,568.0,533.0,97.5,295.0,1382.5
google-collections.csv,98.5,97.5,292.0,98.5,98.5,196.0,197.5,96.5,2397.5,2289.5,97.5,295.0,2505.0
jchassis.csv,95.5,0.0,0.0,0.0,0.0,186.0,62.5,95.5,270.0,54.5,0.0,0.0,0.0
jpaul.csv,98.5,97.5,185.0,98.5,98.5,194.0,390.5,96.5,795.0,270.5,92.5,0.0,983.0
neodatis-odb.csv,99.0,192.0,411.0,86.5,98.5,196.0,194.0,96.5,1287.0,182.0,97.5,95.5,182.0
octet.csv,98.5,97.5,292.0,96.5,95.5,95.5,197.5,96.5,908.0,1645.0,97.5,295.0,1411.5
thedata.csv,99.0,87.5,292.0,195.0,98.5,196.0,197.5,1033.0,1423.0,276.5,97.5,196.5,174.5
