,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.57,0.94,0.99,0.44,0.96,0.83,0.51,0.97
apolloplayer.csv,0.53,0.54,0.39,0.71,0.52,0.39,0.64,0.56
k3d.csv,0.96,0.67,0.88,0.57,0.83,0.74,0.78,0.97
redshell.csv,0.96,0.97,0.41,0.71,0.55,0.4,0.68,0.69
rtb-team.csv,0.83,0.52,0.99,0.5,0.97,0.9,0.75,0.87
xreal.csv,0.97,0.85,0.97,0.71,0.98,0.6,0.9,0.86
xstore.csv,0.46,0.56,0.4,0.8,0.52,0.49,0.44,0.63
