,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.86,0.79,0.74,0.61,0.84
n2cms.csv,0.5,0.49,0.87,0.59,0.78
nassp.csv,0.85,0.86,0.77,0.51,0.94
nug.csv,0.76,0.8,0.36,0.82,0.82
oorexx.csv,0.94,0.59,0.79,0.64,0.42
