,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.69,1.0,0.37,0.6,0.53,0.0,0.54,0.4,0.0,0.41,0.55
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.06,0.0
coot.csv,0.46,0.31,0.43,0.53,0.49,0.38,0.37,0.47,0.14,0.96,0.3
dsworkbench.csv,1.0,0.29,0.1,0.28,0.12,0.37,0.21,0.13,0.0,0.14,0.17
freelords.csv,0.59,0.49,0.97,0.63,0.43,0.75,0.49,0.61,0.83,0.61,0.38
gephex.csv,0.49,0.61,0.55,0.69,0.34,0.55,0.98,0.5,0.6,0.35,0.59
jas.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jpaul.csv,0.48,0.27,0.31,0.95,0.18,0.0,0.12,0.29,0.42,0.14,0.2
ngl.csv,0.47,0.43,0.5,0.74,0.45,0.88,0.51,1.0,0.41,0.61,0.47
scenemonitor.csv,0.69,0.54,0.5,0.49,0.91,0.7,0.53,0.6,0.68,0.61,0.43
synecdoche.csv,0.67,0.4,0.64,0.67,0.37,0.0,0.29,0.41,0.41,0.39,0.92
