,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.66,0.08,0.0,0.13,0.16,0.07,0.43,0.17
apolloplayer.csv,0.42,0.67,1.0,0.33,0.44,0.87,0.71,0.4
k3d.csv,0.45,0.04,0.0,0.93,0.07,0.83,0.0,0.38
keyczar.csv,0.26,0.0,0.0,0.53,0.1,0.0,0.0,0.73
kowari.csv,0.71,0.33,0.0,0.8,0.47,0.5,0.57,0.9
redshell.csv,0.21,0.33,0.0,0.27,0.79,0.83,0.29,0.48
rtb-team.csv,0.08,0.46,0.0,0.8,0.09,0.07,0.14,0.04
