,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.71,0.06,0.2,0.64,0.5,0.78,0.56,0.0,0.76,0.74,0.71
empserver.csv,0.8,0.19,0.13,0.71,0.76,0.75,0.57,0.1,0.25,0.68,1.0
enlightenment.csv,0.66,0.23,0.13,0.68,0.52,0.66,0.43,0.08,0.22,0.63,0.73
ffigo.csv,0.68,0.4,0.09,0.6,0.67,0.68,1.0,0.0,0.23,0.75,0.4
ildjit.csv,0.52,0.84,0.04,0.45,0.75,0.44,0.1,0.0,0.4,0.75,0.33
jfreereport.csv,0.9,0.0,0.45,0.75,0.67,1.0,0.71,0.0,0.6,0.95,1.0
lufa-lib.csv,0.6,0.24,0.19,0.63,0.62,0.67,0.68,0.08,0.59,0.71,0.76
pcsx2.csv,0.76,0.17,0.17,0.63,0.54,0.77,0.44,0.04,0.22,0.86,0.76
psycle.csv,0.76,0.26,0.15,0.62,0.57,0.7,0.43,0.09,0.22,0.7,0.8
wikipediardware.csv,0.74,0.23,0.13,0.6,0.53,0.68,0.42,0.09,0.22,0.65,0.89
wxjs.csv,0.62,0.0,0.25,0.74,0.2,0.61,0.5,1.0,0.0,0.56,0.4
