,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.0,7.0,0.0,0.0,0.0,0.0,4.0,97.0,0.0,2.0,0.0
empserver.csv,1.0,3.0,2.0,0.0,0.0,0.0,0.0,27.0,11.0,3.0,0.0
enlightenment.csv,0.0,11.0,2.0,0.0,1.0,0.0,11.0,46.0,12.0,2.0,0.0
ffigo.csv,2.0,3.0,2.0,0.0,0.0,0.0,0.0,97.0,29.0,1.0,2.0
ildjit.csv,1.0,0.0,6.0,0.0,0.0,1.0,5.0,97.0,0.0,1.0,2.0
jfreereport.csv,1.0,125.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0
lufa-lib.csv,0.0,16.0,6.0,1.0,0.0,0.0,3.0,18.0,0.0,1.0,0.0
pcsx2.csv,2.0,3.0,0.0,0.0,0.0,0.0,9.0,13.0,12.0,1.0,0.0
psycle.csv,0.0,7.0,1.0,1.0,0.0,0.0,7.0,37.0,12.0,1.0,1.0
wikipediardware.csv,0.0,8.0,2.0,1.0,0.0,0.0,11.0,39.0,12.0,0.0,1.0
wxjs.csv,2.0,125.0,4.0,2.0,1.0,0.0,1.0,0.0,355.0,0.0,0.0
