,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.28,0.03,0.24,0.39,0.03,0.47,0.5,0.0,0.21,0.3,0.39
empserver.csv,0.4,0.41,0.86,0.31,0.69,0.51,0.37,1.0,0.86,0.74,0.24
enlightenment.csv,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.46,0.48,0.31,0.04,0.06,0.21,0.06,0.0,0.34,0.76,0.05
ildjit.csv,0.06,0.55,0.01,0.04,0.08,0.02,0.01,0.0,0.03,0.04,0.03
jfreereport.csv,0.1,0.0,0.07,0.36,0.11,0.09,0.23,0.0,0.04,0.26,0.29
lufa-lib.csv,0.46,0.55,0.38,0.55,0.14,0.63,0.64,0.25,0.26,0.68,0.68
pcsx2.csv,0.68,0.24,0.73,0.78,0.86,0.83,0.89,0.25,0.99,0.24,0.5
psycle.csv,0.84,0.97,0.96,0.85,0.78,0.93,0.87,1.0,1.0,0.57,0.42
wikipediardware.csv,0.72,0.9,1.0,0.85,1.0,0.93,0.98,1.0,1.0,0.88,0.82
wxjs.csv,0.03,0.0,0.03,0.05,0.03,0.06,0.01,0.62,0.0,0.07,0.05
