,id,count_recall,count_precision,count_pf,cdom_score,bellwether
40,4,1,5,9,8,ossim.csv
47,5,1,2,9,8,vapor.csv
17,6,1,4,5,6,amateur-scrolls.csv
12,7,3,9,14,16,vars-redux.csv
23,8,1,7,13,12,pentahoanalysistool.csv
20,10,2,2,2,2,pfaedit.csv
11,11,1,3,9,8,mumble.csv
42,12,1,10,19,18,pixel-commandos.csv
46,13,1,10,14,14,unimrcp.csv
48,14,2,3,2,3,itext.csv
41,15,2,10,14,16,autowikibrowser.csv
14,16,1,9,13,14,wxcrp.csv
19,17,2,10,19,16,m-a-d-n-e-s-s.csv
9,18,1,6,9,10,grafx2.csv
21,19,2,5,11,14,rosegarden.csv
24,21,1,4,7,6,exist.csv
49,22,2,2,2,2,amygdala.csv
39,23,2,5,10,11,motu.csv
38,24,2,9,15,15,dxengine.csv
50,25,1,8,20,19,jgossipforum.csv
22,26,5,5,11,17,geochat.csv
10,27,1,5,11,11,oscarmcmaster.csv
18,28,1,1,3,3,thrust.csv
13,29,2,8,9,11,mobicents.csv
31,30,2,9,12,14,hydrate.csv
28,31,3,2,4,4,k3b.csv
2,32,1,5,17,16,codepurge.csv
8,33,2,4,6,5,lite.csv
7,34,1,3,9,8,piccolo2d.csv
3,35,1,5,9,9,geotools.csv
27,36,1,9,14,13,gmerlin.csv
32,39,3,7,10,16,sabbu.csv
44,40,2,3,15,16,sarasvati.csv
36,41,1,10,14,16,autat.csv
15,42,2,6,16,19,ondex.csv
26,43,2,4,13,13,openmeetings.csv
25,44,3,6,6,8,jsr308-langtools.csv
16,45,1,8,13,12,genoviz.csv
35,46,1,9,18,17,jaxen.csv
45,47,2,3,5,7,jbpm.csv
37,48,9,8,13,16,micomt.csv
43,49,1,5,10,9,xbplayer.csv
0,50,3,3,1,5,zealos.csv
5,51,1,4,14,14,taverna.csv
33,52,1,9,14,13,gzigzag.csv
30,53,1,4,9,8,stemkit.csv
29,54,1,7,7,9,fritzing.csv
34,55,1,6,8,7,biodwh.csv
4,56,4,2,5,6,geogebra.csv
1,57,4,4,3,12,jcache.csv
6,58,1,6,14,12,free-evolution.csv
