,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.6,0.63,0.35,0.98,0.39
freenet.csv,0.76,0.99,0.62,0.64,0.34
mediaportal.csv,0.67,0.56,0.74,0.52,0.96
onotoa.csv,0.61,0.69,1.0,0.59,0.31
sqlpower-library.csv,0.99,0.74,0.76,0.59,0.34
