,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.54,0.54,0.5,0.58,0.83,0.55,0.8,0.65,0.25,1.0,0.77,0.62,0.89,0.6,0.42,0.68,1.0,0.47,0.73,0.53
array4j.csv,0.67,0.1,0.62,0.26,0.17,0.34,0.87,0.87,0.42,0.0,0.38,0.24,0.28,0.6,0.04,0.35,0.83,0.23,0.67,0.53
bzbyte.csv,0.83,1.0,1.0,1.0,1.0,0.14,1.0,1.0,0.0,1.0,1.0,0.71,0.72,0.2,0.99,0.0,1.0,0.81,0.0,0.11
capcode.csv,0.65,0.4,0.69,0.21,0.67,0.54,0.73,0.65,0.67,1.0,0.46,0.48,0.72,0.4,0.59,0.55,0.83,0.58,0.39,0.79
fm-classic.csv,0.28,0.28,0.06,0.16,0.25,0.17,0.0,0.0,0.08,1.0,0.15,0.14,0.5,0.2,0.09,0.16,0.0,0.25,0.21,0.0
freenet.csv,0.78,0.74,0.69,0.95,1.0,0.75,0.93,0.7,0.17,1.0,1.0,0.71,0.83,0.2,0.63,0.19,0.67,0.68,0.97,0.74
hannosset.csv,0.26,0.32,0.44,0.26,0.08,0.14,0.13,0.0,0.08,0.0,0.31,0.29,0.0,0.0,0.18,0.29,0.83,0.16,0.42,0.42
haphazard.csv,0.98,0.42,0.5,0.68,0.67,0.71,0.63,0.52,0.5,0.67,0.46,0.48,0.17,0.4,0.27,0.26,0.17,0.58,0.45,0.74
intact.csv,0.59,0.3,0.31,0.21,0.67,0.85,0.6,0.48,0.42,0.33,0.54,0.76,0.5,0.2,0.39,0.03,1.0,0.51,1.0,0.26
ipfire-wall.csv,0.35,0.38,0.06,0.42,0.42,0.21,0.13,0.22,0.17,1.0,0.38,0.33,0.89,0.4,0.28,0.39,0.0,0.28,0.03,0.42
jlinalg.csv,0.5,0.84,0.5,0.79,0.33,0.54,0.47,0.17,0.5,1.0,0.46,0.57,0.89,0.6,0.81,0.68,0.33,0.42,0.97,0.47
nassp.csv,0.59,0.36,0.25,0.05,0.0,0.28,0.17,0.09,0.75,0.33,0.15,0.24,0.39,0.2,0.27,0.39,0.17,0.39,0.12,0.26
ondex.csv,0.11,0.22,0.44,0.05,0.17,0.5,0.4,0.61,0.33,0.33,0.54,0.24,0.56,0.6,0.32,0.65,0.5,0.46,0.58,0.11
optalgtoolkit.csv,0.48,0.14,0.5,0.79,0.67,0.65,0.57,0.7,0.83,0.67,0.38,0.48,0.44,0.8,0.39,0.68,0.5,0.65,0.64,0.16
pustefix.csv,0.5,0.52,0.0,0.68,0.83,0.26,0.3,0.57,0.42,0.67,0.46,0.29,0.44,0.0,0.42,0.0,0.0,0.6,0.21,0.37
soar.csv,1.0,0.7,0.69,1.0,0.92,0.86,0.83,1.0,1.0,1.0,0.85,0.76,1.0,1.0,1.0,0.61,0.83,0.88,0.52,0.84
sqlpower-library.csv,0.67,0.5,0.56,0.37,0.92,0.88,0.73,0.65,1.0,1.0,0.62,0.76,1.0,1.0,0.98,0.58,1.0,0.63,1.0,0.26
super-tux.csv,0.67,0.16,0.81,0.68,0.42,0.92,0.6,0.96,0.75,0.0,0.54,0.67,0.89,0.8,0.92,0.16,0.83,0.81,0.73,0.58
tart.csv,0.2,0.32,0.38,0.37,0.5,0.77,0.7,0.61,0.67,1.0,0.62,0.62,0.89,1.0,0.37,0.65,0.17,0.72,0.55,0.16
web-cat.csv,0.57,0.6,0.69,0.42,0.67,0.85,0.83,0.78,0.92,0.67,0.92,0.81,1.0,1.0,0.8,0.97,1.0,0.86,0.88,0.79
