,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.0,0.67,0.35,0.64,1.0,0.09,0.57,0.54,0.61,0.57
chaperon.csv,0.21,0.17,0.43,1.0,0.21,0.1,0.02,0.12,0.11,0.23
geotools.csv,0.27,0.1,0.44,0.29,0.38,0.23,0.96,0.1,0.12,0.26
l2j.csv,0.63,0.57,0.42,0.66,0.55,0.59,0.68,0.58,0.99,0.62
mule.csv,0.99,0.38,0.18,0.54,0.34,0.54,0.5,0.18,0.26,0.49
nunit.csv,0.28,0.07,0.32,0.0,0.36,0.47,0.29,0.06,0.2,0.96
primefaces.csv,0.43,0.67,0.42,0.61,0.4,0.61,0.5,1.0,0.45,0.67
springside.csv,0.67,0.98,0.44,0.66,0.58,0.75,0.66,0.65,0.51,0.63
swtfox.csv,0.26,0.33,0.98,0.52,0.29,0.3,0.42,0.18,0.47,0.32
twostep.csv,0.59,0.56,0.37,0.28,0.58,0.97,0.71,0.29,0.48,0.51
