,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.61,0.49,0.35,0.09,1.0,0.36,0.31,0.59,0.81,0.22
chaperon.csv,0.52,0.23,0.6,1.0,0.91,0.33,0.1,0.44,0.82,0.19
geotools.csv,0.72,0.27,0.47,0.11,0.89,0.62,1.0,0.6,0.86,0.24
l2j.csv,0.66,0.47,0.31,0.1,0.97,0.39,0.36,0.7,0.99,0.25
mule.csv,0.99,0.64,0.27,0.22,1.0,0.62,0.36,0.86,0.86,0.37
nunit.csv,0.85,0.43,0.5,0.0,0.95,0.73,0.28,0.25,0.79,1.0
primefaces.csv,0.59,0.52,0.3,0.09,0.91,0.4,0.26,1.0,0.77,0.27
springside.csv,0.68,0.96,0.35,0.1,0.97,0.52,0.36,0.65,0.76,0.26
swtfox.csv,0.52,0.2,1.0,0.1,0.93,0.29,0.24,0.46,0.67,0.13
twostep.csv,0.63,0.37,0.26,0.04,0.97,1.0,0.38,0.62,0.74,0.24
