,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.99,0.69,0.78,0.75,1.0,0.96,0.82,0.65,0.6,0.7
chaperon.csv,0.18,0.14,0.38,1.0,0.18,0.08,0.02,0.1,0.09,0.2
geotools.csv,0.23,0.08,0.4,0.25,0.43,0.19,0.95,0.08,0.1,0.22
l2j.csv,0.81,0.55,0.57,0.75,0.52,0.77,0.79,0.57,0.99,0.7
mule.csv,0.99,0.33,0.15,0.5,0.29,0.5,0.47,0.15,0.22,0.45
nunit.csv,0.24,0.06,0.28,0.0,0.32,0.42,0.25,0.05,0.17,0.95
primefaces.csv,0.81,0.67,0.52,0.75,0.38,0.77,0.55,1.0,0.42,0.75
springside.csv,0.83,0.98,0.42,0.75,0.55,0.81,0.72,0.8,0.49,0.68
swtfox.csv,0.23,0.37,0.98,0.5,0.25,0.27,0.41,0.15,0.54,0.3
twostep.csv,0.77,0.57,0.38,0.25,0.55,0.96,0.79,0.25,0.46,0.5
