,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.8,0.95,0.95,0.95,0.93,0.0,0.9,0.0,0.8,0.0,0.67,0.88,0.8
delphilhlplib.csv,0.49,0.36,0.42,0.51,0.44,0.45,0.47,0.42,0.38,0.47,0.41,0.33,0.41
esmf.csv,0.48,0.81,0.69,0.48,0.93,0.46,0.75,0.5,0.47,0.39,0.42,0.48,0.44
gbif-indexingtoolkit.csv,0.75,0.95,0.88,0.81,0.96,0.81,0.93,0.63,0.68,0.58,0.86,0.67,0.93
jgameai.csv,0.92,0.95,0.7,0.84,0.92,0.72,0.74,0.88,0.92,0.77,0.77,0.69,0.93
jsecurity.csv,0.62,0.8,0.72,0.7,0.52,0.95,0.83,0.59,0.7,0.69,0.78,0.88,0.68
libopenmetaverse.csv,0.44,0.39,0.45,0.5,0.43,0.43,0.53,0.42,0.42,0.54,0.37,0.41,0.4
mptvseries.csv,0.81,0.89,0.56,0.67,0.96,0.85,0.88,0.86,0.83,0.85,0.91,0.58,0.92
mule.csv,0.88,0.83,0.88,0.75,0.94,0.46,0.81,0.53,0.67,0.54,0.56,0.88,0.63
piccolo2d.csv,0.0,0.0,0.75,0.67,0.0,0.94,0.96,0.76,0.91,0.0,0.43,0.0,0.5
vars-redux.csv,0.76,0.68,0.66,0.46,0.48,0.48,0.66,0.5,0.7,0.67,0.65,0.9,0.51
werx.csv,0.37,0.36,0.42,0.48,0.42,0.41,0.47,0.38,0.36,0.35,0.37,0.34,0.37
