,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,esmf.csv,mule.csv,jsecurity.csv,delphilhlplib.csv,piccolo2d.csv,libopenmetaverse.csv,gbif-indexingtoolkit.csv,mptvseries.csv,vars-redux.csv
avifile.csv,0.0,0.0,0.2,0.24,0.11,0.0,0.06,0.0,0.06,0.0,0.04,0.16,0.04
delphilhlplib.csv,0.6,1.0,0.97,0.92,0.76,0.85,0.96,0.0,0.94,0.69,0.92,0.87,0.88
esmf.csv,0.49,0.75,0.28,0.73,0.0,0.59,0.25,0.89,0.57,0.8,0.76,0.55,0.64
gbif-indexingtoolkit.csv,0.06,0.0,0.15,0.24,0.16,0.13,0.11,0.72,0.35,0.4,0.0,0.06,0.1
jgameai.csv,0.18,0.25,0.23,0.0,0.08,0.21,0.25,0.06,0.12,0.2,0.2,0.19,0.12
jsecurity.csv,0.37,0.0,0.39,0.37,0.62,0.11,0.01,0.78,0.26,0.17,0.3,0.19,0.33
libopenmetaverse.csv,0.63,1.0,0.86,0.94,0.85,0.84,0.85,0.94,0.82,0.03,0.86,0.74,0.82
mptvseries.csv,0.23,0.0,0.52,0.41,0.17,0.1,0.1,0.0,0.15,0.14,0.16,0.0,0.1
mule.csv,0.11,0.0,0.16,0.16,0.08,0.0,0.13,0.39,0.22,0.34,0.28,0.13,0.13
piccolo2d.csv,0.0,0.0,0.04,0.03,0.0,0.04,0.11,0.11,0.0,0.0,0.36,0.0,0.01
vars-redux.csv,0.25,0.75,0.35,0.44,0.51,0.55,0.4,0.61,0.17,0.29,0.26,0.19,0.0
werx.csv,0.97,0.0,0.99,1.0,1.0,0.95,0.98,1.0,1.0,1.0,0.98,1.0,0.94
